Samples,Noisy_JSD,Denoised_JSD
35840,0.3401325759192285,0.0005888294522028082
71680,0.20401720680106072,0.00036880660121831857
143360,0.1095233351473539,0.00026366512966154046
286720,0.05397133158689736,0.00017708473623775987
430080,0.03480287244242695,0.0001333406221745636
573440,0.025326512371010714,0.00011341101283994885
860160,0.01622084514278069,8.876331806107474e-05
1146880,0.011929180296358277,7.827103539048329e-05
1720320,0.007787764815457986,6.767325186759769e-05
2293760,0.005801848281195462,6.279142655329276e-05
3440640,0.0038248479884236573,5.822730626348598e-05
4587520,0.0028639948462093777,5.793217315549702e-05
5160960,0.0025338370115050514,5.7329375163296255e-05
6881280,0.0019013732494608747,5.7876854256114956e-05
9175040,0.0014269251824508369,5.758888727262253e-05
10321920,0.001264627313837627,5.7240184772899266e-05
13762560,0.0009476444807496379,5.90188980037635e-05
18350080,0.0007137849071779807,5.850502951793628e-05
20643840,0.0006314110889086065,5.8339471766011596e-05
27525120,0.00047565234283511156,5.965326096211166e-05
36700160,0.00035736342700410734,5.9191390203286115e-05
41287680,0.0003154655824396771,5.9387618208076906e-05
55050240,0.00023889952751349777,6.019592398538389e-05
82575360,0.00015735744205989182,6.029863812196643e-05
110100480,0.00012068151622636896,6.092994744647815e-05
165150720,7.833108523088866e-05,6.134802911432622e-05
220200960,6.159243747911484e-05,6.168342088989681e-05
330301440,3.8954069187130024e-05,6.196604163772109e-05
440401920,3.2026503163420706e-05,6.225209480241303e-05
660602880,1.9283488685945942e-05,6.244042393987927e-05
1321205760,9.445646146172105e-06,6.274493658895682e-05
2642411520,4.491982218813685e-06,6.298515625405528e-05
5284823040,2.0379749667627424e-06,6.311758435724235e-05
