Samples,Noisy_JSD,Denoised_JSD
35864,0.3338453441848961,0.0004913196596041334
71704,0.20142867836926234,0.000426297007690769
143001,0.10981171730113357,0.0003571208520551793
284843,0.05509510167883993,0.00028265553732000737
429818,0.035276175964594224,0.00023570624446789208
572336,0.025864408955058038,0.00019489515883427993
859133,0.01661726468725288,0.0001483570111831921
1151254,0.012120930675962092,0.00011584877874780686
1708790,0.008049117127244182,9.543621247223607e-05
2320354,0.005849300580519787,7.158720116886014e-05
3428279,0.003929123910742822,5.7029745300538095e-05
4608672,0.0029175855350613623,4.931629944320893e-05
5172857,0.002589625070875822,4.681868154685145e-05
6846700,0.0019607957268751586,4.226542980624624e-05
9218775,0.001456597915065686,3.771010819869073e-05
10345282,0.001288725850657953,3.534792109379905e-05
13714812,0.0009780605204526653,3.319304160469454e-05
18439597,0.0007254151956402093,3.077755482455779e-05
20666860,0.0006449422536757846,3.022703733230479e-05
27510025,0.0004868474324607292,2.810079888828386e-05
36755284,0.00036373924157527066,2.7081768518186766e-05
41267944,0.0003239274465033227,2.7293119288735246e-05
54986698,0.0002451166150904487,2.6076239333508506e-05
82469152,0.00016392087834894364,2.58834200461377e-05
109934507,0.00012391287852285876,2.529387472335063e-05
164993029,8.320547767037292e-05,2.4761574726202355e-05
219926078,6.308448114340953e-05,2.457042954930614e-05
330152173,4.296160507073669e-05,2.4281731973617105e-05
440048473,3.29847142422437e-05,2.4116640034595595e-05
660635821,2.2741730044331826e-05,2.397778880488532e-05
1320956485,1.2695926941518139e-05,2.3713619445142856e-05
2642064198,7.598266406109436e-06,2.373608760214527e-05
5284090178,5.035688670063898e-06,2.3822010242683092e-05
