Samples,Noisy_VMC,UNET,BM4D,FFT,Local_Reg
10240,0.44745637492467755,0.002833169765312741,0.08237217067719603,0.0007716768226325421,0.2385892242260297
20480,0.29269498663280646,0.0017519096146356569,0.0291687510918886,0.00037949244095305054,0.14296393954323242
40960,0.16936263946141383,0.0010902493148034656,0.008928363214128729,0.000376594842200277,0.07751801499280356
81920,0.0901338030378192,0.0006034078152314564,0.0025999214077654367,0.00018202493991624903,0.039766042872690546
163840,0.04466968491421163,0.00033656280181431866,0.0008007954303553146,0.00017021310794393946,0.019890628725014473
327680,0.02115961140292501,0.0001825727931132384,0.0003357133705051454,0.00012433696291303786,0.009733073152341455
430080,0.015750387283524455,0.0001498698934795029,0.00027713163199669056,6.943723931875953e-05,0.007353047030713797
655360,0.009959496050937077,0.00011063636874593418,0.00019695742650253603,5.799084731261237e-05,0.0047324940414132785
860160,0.0074468856613225335,9.475819676987465e-05,0.0001752480190342277,5.456354656463819e-05,0.0035686003276407894
1310720,0.004831701566194899,7.510800468204167e-05,0.0001363634812673025,3.727165366458061e-05,0.0023252631353296005
1720320,0.0036240334451517267,6.781615357924192e-05,0.00012111519607117226,3.258676221468244e-05,0.0017575857627097685
2621440,0.0023806291485216945,5.8353479684051366e-05,0.0001069062879068675,2.3595214312532686e-05,0.0011583164372064335
3440640,0.0017968437996569524,5.564972161239369e-05,9.790237286135019e-05,1.8696064697238217e-05,0.0008781197148154925
5160960,0.0012031512516477445,5.1012471352510556e-05,9.355886547832322e-05,9.42484232231972e-06,0.0005859393963396874
5242880,0.001183841181523899,5.0875025823474906e-05,9.473855523986416e-05,1.039294366000203e-05,0.0005789704287558355
6881280,0.0009014069997064035,4.922717072822113e-05,9.048922861439897e-05,1.0892102634738487e-05,0.0004438164708606761
10321920,0.0006003742126535325,4.724755634265616e-05,8.59281686148784e-05,6.023249811596284e-06,0.00029553525859186736
10485760,0.0005923302612628243,4.675998805644476e-05,8.778621812490777e-05,5.93666518081904e-06,0.00029258697531968293
13762560,0.00044991160310078654,4.642151884939142e-05,8.658604191702377e-05,6.466678428983334e-06,0.00022298057591262492
20643840,0.0003004075777354995,4.505193984474469e-05,8.341626630841442e-05,4.444567479979796e-06,0.00015010364686305412
27525120,0.0002262063140926788,4.483384079556686e-05,8.297472506555005e-05,4.5848401418028495e-06,0.00011440674377175407
41287680,0.00015111078724441116,4.417672753097392e-05,8.342051500773672e-05,2.938963545350284e-06,7.772084039762198e-05
55050240,0.00011370475563809664,4.420737198285398e-05,8.16966715958214e-05,3.0003557683588876e-06,5.975137816946322e-05
82575360,7.588581507054732e-05,4.39152297599297e-05,8.105481025988172e-05,2.289212764781313e-06,4.120753616149567e-05
110100480,5.7298637546173616e-05,4.387946301362766e-05,8.14290943284814e-05,2.043070098871475e-06,3.234878146017394e-05
165150720,3.857958511083e-05,4.3611212122272756e-05,8.084540305160638e-05,1.8767553019590811e-06,2.311854085129812e-05
220200960,2.91219069578282e-05,4.3611861149556964e-05,8.11053742805279e-05,1.7753787310937153e-06,1.859124844665487e-05
330301440,1.983309316010802e-05,4.348790038489416e-05,8.053310672697429e-05,1.7179152363859411e-06,1.4045104089685959e-05
440401920,1.5140672330083404e-05,4.356667961220034e-05,8.075525722724957e-05,1.6462083035540177e-06,1.1741143061668721e-05
660602880,1.049209860663569e-05,4.34917623791781e-05,8.047739843998044e-05,1.6373476252710184e-06,9.481917383025644e-06
1321205760,5.843563503941603e-06,4.345155365875452e-05,8.038688563295761e-05,1.5979897320204605e-06,7.237483864477788e-06
2642411520,3.5139848858172935e-06,4.344302138599502e-05,8.030506538799193e-05,1.5723591041653866e-06,6.097550903449856e-06
5284823040,2.337849154451863e-06,4.345339425102888e-05,8.026362567138799e-05,1.5623352837162784e-06,5.532617231146185e-06
