bm4d
"(10240, np.float64(0.07373719022377279))"
"(20480, np.float64(0.047662912877220985))"
"(40960, np.float64(0.02881885056500151))"
"(81920, np.float64(0.016566396169781197))"
"(163840, np.float64(0.009386183906939766))"
"(327680, np.float64(0.005204742723053461))"
"(430080, np.float64(0.004087030381406972))"
"(655360, np.float64(0.002824645679391547))"
"(860160, np.float64(0.00220471990229567))"
"(1310720, np.float64(0.0015099249178400053))"
"(1720320, np.float64(0.0011716141899979092))"
"(2621440, np.float64(0.0008037504433324219))"
"(3440640, np.float64(0.0006283034002242089))"
"(5160960, np.float64(0.00043988158080116843))"
"(5242880, np.float64(0.0004336780836655551))"
"(6881280, np.float64(0.00034434773437435197))"
"(10321920, np.float64(0.00024476013045753107))"
"(10485760, np.float64(0.00024287397058577435))"
"(13762560, np.float64(0.00019649378651030014))"
"(20643840, np.float64(0.00014641761053986438))"
"(27525120, np.float64(0.00012163713280671365))"
"(41287680, np.float64(9.675508868870313e-05))"
"(55050240, np.float64(8.376053243414515e-05))"
"(82575360, np.float64(7.023661178177945e-05))"
"(110100480, np.float64(6.298678751464183e-05))"
"(165150720, np.float64(5.5181976432321593e-05))"
"(220200960, np.float64(5.1120393665980915e-05))"
"(330301440, np.float64(4.736869146784364e-05))"
"(440401920, np.float64(4.563120827443941e-05))"
"(660602880, np.float64(4.417549315419524e-05))"
"(1321205760, np.float64(4.3141798073837124e-05))"
"(2642411520, np.float64(4.2862314511031196e-05))"
"(5284823040, np.float64(4.278851856018016e-05))"
