bm4d,bm3d
"(10240, np.float64(0.0737371901446156))","(10240, np.float64(0.00011970161985246394))"
"(20480, np.float64(0.04766291289969891))","(20480, np.float64(0.00011712916926057334))"
"(40960, np.float64(0.028818850521845258))","(40960, np.float64(0.00011385398163027276))"
"(81920, np.float64(0.016566396169486543))","(81920, np.float64(0.0001108744378450388))"
"(163840, np.float64(0.009386183893297406))","(163840, np.float64(0.00010817414840029643))"
"(327680, np.float64(0.005204742717853119))","(327680, np.float64(0.00010575865754020393))"
"(430080, np.float64(0.00408703038017609))","(430080, np.float64(0.00010542678252543897))"
"(655360, np.float64(0.0028246456811943346))","(655360, np.float64(0.00010403146341609394))"
"(860160, np.float64(0.002204719901744272))","(860160, np.float64(0.0001034238817071521))"
"(1310720, np.float64(0.0015099249185843895))","(1310720, np.float64(0.00010248747282631103))"
"(1720320, np.float64(0.0011716141887785608))","(1720320, np.float64(0.00010161368311435212))"
"(2621440, np.float64(0.0008037504434364851))","(2621440, np.float64(0.00010074531832946886))"
"(3440640, np.float64(0.0006283034000978208))","(3440640, np.float64(9.967207264981084e-05))"
"(5160960, np.float64(0.00043988158084776717))","(5160960, np.float64(9.883671377667328e-05))"
"(5242880, np.float64(0.00043367808404121984))","(5242880, np.float64(9.82154638356563e-05))"
"(6881280, np.float64(0.000344347734368567))","(6881280, np.float64(9.74306122268974e-05))"
"(10321920, np.float64(0.0002447601303306763))","(10321920, np.float64(9.5806900177353e-05))"
"(10485760, np.float64(0.00024287397086895097))","(10485760, np.float64(9.602686050773612e-05))"
"(13762560, np.float64(0.0001964937865708105))","(13762560, np.float64(9.503381671539384e-05))"
"(20643840, np.float64(0.00014641761063060818))","(20643840, np.float64(9.400799382281495e-05))"
"(27525120, np.float64(0.00012163713285971806))","(27525120, np.float64(9.24405092501807e-05))"
"(41287680, np.float64(9.675508859220113e-05))","(41287680, np.float64(9.095783323988527e-05))"
"(55050240, np.float64(8.376053249374706e-05))","(55050240, np.float64(8.98187291701562e-05))"
"(82575360, np.float64(7.023661174100298e-05))","(82575360, np.float64(8.798425960233136e-05))"
"(110100480, np.float64(6.298678749453052e-05))","(110100480, np.float64(8.691083506963129e-05))"
"(165150720, np.float64(5.518197830670132e-05))","(165150720, np.float64(8.477152838401783e-05))"
"(220200960, np.float64(5.112040512876608e-05))","(220200960, np.float64(8.392843409574594e-05))"
"(330301440, np.float64(4.73686836786182e-05))","(330301440, np.float64(8.18086575231757e-05))"
"(440401920, np.float64(4.563120870307544e-05))","(440401920, np.float64(8.128556959881808e-05))"
"(660602880, np.float64(4.417551136485254e-05))","(660602880, np.float64(7.962219504127311e-05))"
"(1321205760, np.float64(4.314179607806781e-05))","(1321205760, np.float64(7.779995970798191e-05))"
"(2642411520, np.float64(4.2862316312506594e-05))","(2642411520, np.float64(7.681409102939402e-05))"
"(5284823040, np.float64(4.27885183556026e-05))","(5284823040, np.float64(7.567827586557472e-05))"
