Samples,Noisy_VMC,bm3d,bm4d
10240.0,0.44745637492467744,0.003656943173375606,0.0005345213994148864
20480.0,0.29269498663280646,0.001761578118276078,0.00022803365371022765
40960.0,0.16936263946141386,0.0009353417320974288,0.00011114488565062477
81920.0,0.09013380303781922,0.0004377086249758237,8.357387653861839e-05
163840.0,0.04466968491421164,0.0002578374880681116,7.711273242418523e-05
327680.0,0.02115961140292501,0.00013554657162745645,6.335591628706539e-05
430080.0,0.015750387283524455,0.00012409582063292285,5.320037550280167e-05
655360.0,0.009959496050937081,9.86377954366949e-05,3.94460687577723e-05
860160.0,0.007446885661322536,7.182023153021822e-05,3.318755690266356e-05
1310720.0,0.004831701566194899,4.465832660742678e-05,2.377062952687457e-05
1720320.0,0.0036240334451517267,4.072092991742561e-05,1.9002232754231428e-05
2621440.0,0.002380629148521695,2.8951022286259885e-05,1.3930155095102712e-05
3440640.0,0.0017968437996569524,2.5281652898004884e-05,1.1183733922914402e-05
5160960.0,0.0012031512516477447,1.8576196549886785e-05,7.85502322164883e-06
5242880.0,0.001183841181523899,1.935356951904746e-05,7.770537462175107e-06
6881280.0,0.0009014069997064039,1.5910747113033333e-05,6.389691464060266e-06
10321920.0,0.0006003742126535325,1.1918557727616152e-05,5.206225490854557e-06
10485760.0,0.000592330261262824,1.1948107499460098e-05,5.024716494805509e-06
13762560.0,0.0004499116031007865,9.879918181900238e-06,4.290965770481381e-06
20643840.0,0.0003004075777354996,7.74279992080504e-06,3.6378340193036918e-06
27525120.0,0.00022620631409267863,6.490074203463362e-06,3.1236880683174516e-06
41287680.0,0.00015111078724441162,5.158445617592559e-06,2.6671343467879064e-06
55050240.0,0.00011370475563809673,4.3995408847215285e-06,2.3462458911255182e-06
82575360.0,7.588581507054743e-05,3.6490871339036907e-06,2.1031387518344955e-06
110100480.0,5.729863754617356e-05,3.1757052942399385e-06,1.8889232656641897e-06
165150720.0,3.8579585110830525e-05,2.6753996445760267e-06,1.716184608421952e-06
220200960.0,2.912190695782786e-05,2.449393574534447e-06,1.580406277334499e-06
330301440.0,1.9833093160108176e-05,2.1573127254234843e-06,1.4929931965538e-06
440401920.0,1.5140672330083419e-05,1.9828381700597845e-06,1.4202568473347504e-06
660602880.0,1.0492098606635673e-05,1.868592789626737e-06,1.3576076647239122e-06
1321205760.0,5.843563503941783e-06,1.665330803830705e-06,1.2876330551954352e-06
2642411520.0,3.5139848858176357e-06,1.5623697003154836e-06,1.2471409266345068e-06
5284823040.0,2.337849154452176e-06,1.5092637079022288e-06,1.2248310880155215e-06
