Samples,Noisy_VMC,bm3d,bm4d
10240.0,0.44745637492467744,0.10757950286618055,0.042927277668579726
20480.0,0.29269498663280646,0.05970246473954211,0.013542498890090269
40960.0,0.16936263946141386,0.028739716729397666,0.0036953916281923737
81920.0,0.09013380303781922,0.015276917798889053,0.001215664627236952
163840.0,0.04466968491421164,0.007921001698738083,0.0004677488254926299
327680.0,0.02115961140292501,0.004118861598342977,0.00025414356254450726
430080.0,0.015750387283524455,0.0031789448532623756,0.00021659160360554394
655360.0,0.009959496050937081,0.0022278617493537013,0.00017003196793359762
860160.0,0.007446885661322536,0.001659369657417604,0.00015130193928251562
1310720.0,0.004831701566194899,0.0011505354100465619,0.0001267498260378552
1720320.0,0.0036240334451517267,0.000878700824690887,0.00011503577837798762
2621440.0,0.002380629148521695,0.0005964616583296688,0.00010716861117841483
3440640.0,0.0017968437996569524,0.0004584014371822737,9.966521484956308e-05
5160960.0,0.0012031512516477447,0.0003119080977807301,9.453779580942307e-05
5242880.0,0.001183841181523899,0.0003134715710880355,9.619741018733e-05
6881280.0,0.0009014069997064039,0.0002444508484166703,9.262863528960825e-05
10321920.0,0.0006003742126535325,0.00016561394910214052,8.74819023421139e-05
10485760.0,0.000592330261262824,0.0001618309373257337,8.986486728497979e-05
13762560.0,0.0004499116031007865,0.00012793849000900177,8.817770306810849e-05
20643840.0,0.0003004075777354996,8.786396013088918e-05,8.506163499113509e-05
27525120.0,0.00022620631409267863,6.841729237420303e-05,8.402790041719346e-05
41287680.0,0.00015111078724441162,4.67581125199381e-05,8.409521152305447e-05
55050240.0,0.00011370475563809673,3.60145695077438e-05,8.253403283672334e-05
82575360.0,7.588581507054743e-05,2.506429148547925e-05,8.180747245472114e-05
110100480.0,5.729863754617356e-05,1.9667920770900193e-05,8.161953920787725e-05
165150720.0,3.8579585110830525e-05,1.372030992470798e-05,8.098840422222483e-05
220200960.0,2.912190695782786e-05,1.1011527834369693e-05,8.134969467072757e-05
330301440.0,1.9833093160108176e-05,7.963009960283547e-06,8.064709982517099e-05
440401920.0,1.5140672330083419e-05,6.3754745670562345e-06,8.085534472830749e-05
660602880.0,1.0492098606635673e-05,4.854947087754859e-06,8.062643329215497e-05
1321205760.0,5.843563503941783e-06,3.1111431754412108e-06,8.04046090783412e-05
2642411520.0,3.5139848858176357e-06,2.2217928331995324e-06,8.029276563018827e-05
5284823040.0,2.337849154452176e-06,1.729591479358041e-06,8.02634965065327e-05
