Samples,Noisy_VMC,bm3d,bm4d
10240.0,0.44745637492467744,0.017182422198362444,0.014756587472238129
20480.0,0.29269498663280646,0.004010297370468805,0.0032954678777474145
40960.0,0.16936263946141386,0.0012469428554285154,0.0008655181299977247
81920.0,0.09013380303781922,0.000536661936114689,0.00029938511878839486
163840.0,0.04466968491421164,0.0002835350571019228,0.00013651144961558602
327680.0,0.02115961140292501,0.00015229456569483112,6.818918383959206e-05
430080.0,0.015750387283524455,0.00011798782596546072,4.918176560335833e-05
655360.0,0.009959496050937081,8.736795087874652e-05,3.994856592336874e-05
860160.0,0.007446885661322536,6.824924308403266e-05,3.0682833297326224e-05
1310720.0,0.004831701566194899,4.9943290283584285e-05,2.3421812154500157e-05
1720320.0,0.0036240334451517267,4.082735336959197e-05,1.847542060963803e-05
2621440.0,0.002380629148521695,3.128630940022343e-05,1.4857641773914165e-05
3440640.0,0.0017968437996569524,2.610769117882609e-05,1.2880040299796812e-05
5160960.0,0.0012031512516477447,1.924508654995754e-05,9.524032994439333e-06
5242880.0,0.001183841181523899,1.991301211065421e-05,9.898765134526317e-06
6881280.0,0.0009014069997064039,1.6911323082093893e-05,8.223302869112589e-06
10321920.0,0.0006003742126535325,1.2777742877717103e-05,6.710683272524878e-06
10485760.0,0.000592330261262824,1.2817826377072626e-05,6.4766041983748495e-06
13762560.0,0.0004499116031007865,1.0793622294223506e-05,5.592082994651087e-06
20643840.0,0.0003004075777354996,8.430312166107612e-06,4.481105180186546e-06
27525120.0,0.00022620631409267863,6.996782066925042e-06,3.891752093010162e-06
41287680.0,0.00015111078724441162,5.5450547828895796e-06,3.2601780905896815e-06
55050240.0,0.00011370475563809673,4.739246788070785e-06,2.9284546092175316e-06
82575360.0,7.588581507054743e-05,3.824411498021789e-06,2.509059585258226e-06
110100480.0,5.729863754617356e-05,3.3277572960524028e-06,2.2197327751478793e-06
165150720.0,3.8579585110830525e-05,2.7570563891319033e-06,1.8354251634853915e-06
220200960.0,2.912190695782786e-05,2.4524943580991375e-06,1.6436486007155194e-06
330301440.0,1.9833093160108176e-05,2.1445269441321798e-06,1.4990081344538858e-06
440401920.0,1.5140672330083419e-05,1.941984450329437e-06,1.413951504254804e-06
660602880.0,1.0492098606635673e-05,1.7581359926168323e-06,1.341466966088595e-06
1321205760.0,5.843563503941783e-06,1.5203542442838769e-06,1.271035162260436e-06
2642411520.0,3.5139848858176357e-06,1.3786368132080286e-06,1.2335339236255112e-06
5284823040.0,2.337849154452176e-06,1.293573183746248e-06,1.21361441430025e-06
