Samples,Noisy_VMC,FFT,bm4d,bm3d
10240.0,0.44745637492467755,0.0007716768226325421,0.0737371901446156,0.00011970161985246394
20480.0,0.29269498663280646,0.00037949244095305054,0.04766291289969891,0.00011712916926057334
40960.0,0.16936263946141383,0.000376594842200277,0.028818850521845258,0.00011385398163027276
81920.0,0.0901338030378192,0.00018202493991624903,0.016566396169486543,0.0001108744378450388
163840.0,0.04466968491421163,0.00017021310794393946,0.009386183893297406,0.00010817414840029643
327680.0,0.02115961140292501,0.00012433696291303786,0.005204742717853119,0.00010575865754020393
430080.0,0.015750387283524455,6.943723931875953e-05,0.00408703038017609,0.00010542678252543897
655360.0,0.009959496050937077,5.799084731261237e-05,0.0028246456811943346,0.00010403146341609394
860160.0,0.0074468856613225335,5.456354656463819e-05,0.002204719901744272,0.0001034238817071521
1310720.0,0.004831701566194899,3.727165366458061e-05,0.0015099249185843895,0.00010248747282631103
1720320.0,0.0036240334451517267,3.258676221468244e-05,0.0011716141887785608,0.00010161368311435212
2621440.0,0.0023806291485216945,2.3595214312532686e-05,0.0008037504434364851,0.00010074531832946886
3440640.0,0.0017968437996569524,1.8696064697238217e-05,0.0006283034000978208,9.967207264981084e-05
5160960.0,0.0012031512516477445,9.42484232231972e-06,0.00043988158084776717,9.883671377667328e-05
5242880.0,0.001183841181523899,1.039294366000203e-05,0.00043367808404121984,9.82154638356563e-05
6881280.0,0.0009014069997064035,1.0892102634738487e-05,0.000344347734368567,9.74306122268974e-05
10321920.0,0.0006003742126535325,6.023249811596284e-06,0.0002447601303306763,9.5806900177353e-05
10485760.0,0.0005923302612628243,5.93666518081904e-06,0.00024287397086895097,9.602686050773612e-05
13762560.0,0.00044991160310078654,6.466678428983334e-06,0.0001964937865708105,9.503381671539384e-05
20643840.0,0.0003004075777354995,4.444567479979796e-06,0.00014641761063060818,9.400799382281495e-05
27525120.0,0.0002262063140926788,4.5848401418028495e-06,0.00012163713285971806,9.24405092501807e-05
41287680.0,0.00015111078724441116,2.938963545350284e-06,9.675508859220113e-05,9.095783323988527e-05
55050240.0,0.00011370475563809664,3.0003557683588876e-06,8.376053249374706e-05,8.98187291701562e-05
82575360.0,7.588581507054732e-05,2.289212764781313e-06,7.023661174100298e-05,8.798425960233136e-05
110100480.0,5.7298637546173616e-05,2.043070098871475e-06,6.298678749453052e-05,8.691083506963129e-05
165150720.0,3.857958511083e-05,1.8767553019590811e-06,5.518197830670132e-05,8.477152838401783e-05
220200960.0,2.91219069578282e-05,1.7753787310937153e-06,5.112040512876608e-05,8.392843409574594e-05
330301440.0,1.983309316010802e-05,1.7179152363859411e-06,4.73686836786182e-05,8.18086575231757e-05
440401920.0,1.5140672330083404e-05,1.6462083035540177e-06,4.563120870307544e-05,8.128556959881808e-05
660602880.0,1.049209860663569e-05,1.6373476252710184e-06,4.417551136485254e-05,7.962219504127311e-05
1321205760.0,5.843563503941603e-06,1.5979897320204605e-06,4.314179607806781e-05,7.779995970798191e-05
2642411520.0,3.5139848858172935e-06,1.5723591041653866e-06,4.2862316312506594e-05,7.681409102939402e-05
5284823040.0,2.337849154451863e-06,1.5623352837162784e-06,4.27885183556026e-05,7.567827586557472e-05
