Samples,Noisy_dmc,UNET,BM4D,FFT,Local_Reg
20488,0.2876615768140123,0.006139054428745309,0.006973097535467193,0.0071137687492761875,0.14654493687982084
40963,0.16942928195193813,0.004623047918738377,0.004462622547278044,0.0040300212905096345,0.08274874517672624
81895,0.09180837428770634,0.0030935280629218347,0.0028271610580292454,0.0019694942603577623,0.04355404794375664
163804,0.04657319897135265,0.00192548295434192,0.0017728188620297013,0.0020112452564717206,0.02232166997858853
327565,0.022459842340894678,0.000993995174864701,0.0009101222240910412,0.0010809578605966367,0.011065655439809818
427938,0.016519959825665526,0.0006817102791615066,0.000625038533076767,0.0005674537482576033,0.008241538094332965
652279,0.010649255148754382,0.0005464069061651984,0.0005122033544148108,0.0005505779503017646,0.005437520087767734
856341,0.007942947858394011,0.00040562603581764233,0.00037430721956053663,0.0003423362479407489,0.004099102827819868
1305628,0.005160251946477324,0.00029565562769498136,0.0002773976832359671,0.000310256100164029,0.0026939539392262257
1718334,0.003913107984429142,0.0002464926389167674,0.0002218720337891624,0.00024150777036695294,0.002062100809795008
2600974,0.002562522169455882,0.00016532275852943832,0.00015114676393486893,0.0001654996871518507,0.0013493975554195743
3430082,0.0019382392789618187,0.00013426738565672968,0.00011565504771368694,0.00012725004671682814,0.00102762120582755
5156914,0.0012925444834450707,0.00010620485395021215,8.595588397739356e-05,0.00010228390686231492,0.0006907080280573089
5221839,0.0012902075473897425,0.00011469178815159617,9.997808640198711e-05,0.00010606042827309854,0.0006946726400086087
6859080,0.0009800736215414309,9.308439660974866e-05,7.251001739620912e-05,7.164835426196728e-05,0.0005281074619439771
10306478,0.000660435473274334,7.820901481957337e-05,6.0282740099758676e-05,6.485426034281739e-05,0.0003618117897129256
10460209,0.0006590550244741649,8.370728607408599e-05,6.852605706479007e-05,6.777915814328494e-05,0.0003658520768575954
13716305,0.0005018031752480575,7.142406303492668e-05,5.242431641045645e-05,5.538928996558458e-05,0.00027925332875998736
20619634,0.00033768115013700406,6.0721568585809935e-05,4.0634476960683064e-05,4.1355586999248e-05,0.00019115544404699084
20928124,0.00034552509000886506,6.761775591954423e-05,5.090458789097436e-05,5.318139319028577e-05,0.00020110489384619575
27440029,0.0002635323331490806,5.9408594876134834e-05,4.0497295452268135e-05,4.157868134690656e-05,0.00015487722732416325
41261398,0.00018384661521287624,5.6115224354375024e-05,3.5546107520176175e-05,3.568087073542573e-05,0.00011214406686072054
54957135,0.0001471771950452335,5.58436268698384e-05,3.6459022001670394e-05,3.679356583310476e-05,9.463678109100643e-05
82548320,0.00010903896523449275,5.517754545421799e-05,3.5165866205916286e-05,3.571760619303264e-05,7.516268186035245e-05
109925408,8.943686027104379e-05,5.397850900292815e-05,3.39828517676334e-05,3.409986793891695e-05,6.503575143148266e-05
165018425,6.893914620651788e-05,5.287586184790371e-05,3.199753448637638e-05,3.262974420014179e-05,5.3964407631066034e-05
220027529,6.0421517171305465e-05,5.314257329197487e-05,3.2723078700408385e-05,3.2904806911815e-05,5.0128272316791856e-05
330061239,4.9964613579542634e-05,5.222307061879517e-05,3.157757434897975e-05,3.192648247158732e-05,4.436909889729694e-05
439937606,4.605339170018389e-05,5.2656728577567105e-05,3.218429332005656e-05,3.246960826525989e-05,4.272829641218419e-05
660235265,4.0448755757035556e-05,5.202027948731796e-05,3.126989597220204e-05,3.1460784576045645e-05,3.9535823449232365e-05
1320533024,3.5822590351006385e-05,5.209184313458897e-05,3.126799805633492e-05,3.132784938991724e-05,3.7253124504623236e-05
2641506675,3.3670891930124506e-05,5.223028414510944e-05,3.146221084411983e-05,3.146168605471596e-05,3.627328140239488e-05
5283219951,3.291259197702468e-05,5.25217795221838e-05,3.185254958200101e-05,3.18116915174064e-05,3.609169024715472e-05
