Samples,Noisy_VMC,UNET,BM4D,FFT,Local_Reg,scunet_pre_raw,scunet_pre_trans
10240,0.44745637492467755,0.002833188008873246,0.006173546899223405,0.0007716768226325421,0.2385892242260297,0.12561511589576774,0.08500094630753381
20480,0.29269498663280646,0.0017519202519041379,0.00218470745547325,0.00037949244095305054,0.14296393954323242,0.0681789736321486,0.09654256976983978
40960,0.16936263946141383,0.0010902631973944902,0.0007882709765702457,0.000376594842200277,0.07751801499280356,0.03956259362791334,0.06586879739113326
81920,0.0901338030378192,0.0006034141334507261,0.0002858015249990147,0.00018202493991624903,0.039766042872690546,0.016032915601499245,0.026172442221381088
163840,0.04466968491421163,0.0003365650158663668,0.00012841634170693538,0.00017021310794393946,0.019890628725014473,0.005714404266460318,0.018092882227600738
327680,0.02115961140292501,0.00018257870639986097,6.75480903235913e-05,0.00012433696291303786,0.009733073152341455,0.0011657265079557757,0.008217500291384596
430080,0.015750387283524455,0.0001498769028851395,5.0791163688920764e-05,6.943723931875953e-05,0.007353047030713797,0.0011843928575549394,0.007356114404306822
655360,0.009959496050937077,0.0001106360669355694,3.797334661693178e-05,5.799084731261237e-05,0.0047324940414132785,0.0002941526994260296,0.005048162473086518
860160,0.0074468856613225335,9.475253677202889e-05,3.08047768495432e-05,5.456354656463819e-05,0.0035686003276407894,0.0003226683868154366,0.003705758645695981
1310720,0.004831701566194899,7.511068327752822e-05,2.3911116791072485e-05,3.727165366458061e-05,0.0023252631353296005,0.00011359058948149102,0.0017808026937551605
1720320,0.0036240334451517267,6.781689956231551e-05,1.8737416211381495e-05,3.258676221468244e-05,0.0017575857627097685,9.180521147166034e-05,0.0017600742896154138
2621440,0.0023806291485216945,5.835150521206347e-05,1.5137179560671056e-05,2.3595214312532686e-05,0.0011583164372064335,7.640647556631201e-05,0.0010298334471318768
3440640,0.0017968437996569524,5.565030891382011e-05,1.2554301335920845e-05,1.8696064697238217e-05,0.0008781197148154925,6.564948011789006e-05,0.0008639315004657862
5160960,0.0012031512516477445,5.101120750615408e-05,9.891414976809965e-06,9.42484232231972e-06,0.0005859393963396874,5.580824573752721e-05,0.0005457499114922054
5242880,0.001183841181523899,5.087265781778431e-05,9.551625902182665e-06,1.039294366000203e-05,0.0005789704287558355,5.73524834815583e-05,0.0005795480820713639
6881280,0.0009014069997064035,4.922555544778336e-05,8.379107491962914e-06,1.0892102634738487e-05,0.0004438164708606761,5.291602641823018e-05,0.00039627114399909104
10321920,0.0006003742126535325,4.7247704399062784e-05,6.816248045549217e-06,6.023249811596284e-06,0.00029553525859186736,4.83906308567283e-05,0.0002407375627619263
10485760,0.0005923302612628243,4.6760463369853195e-05,6.599787611474314e-06,5.93666518081904e-06,0.00029258697531968293,4.796921710625155e-05,0.00024973222045192534
13762560,0.00044991160310078654,4.6420840733957705e-05,5.54972661495036e-06,6.466678428983334e-06,0.00022298057591262492,4.631404599628909e-05,0.00017158913957387537
20643840,0.0003004075777354995,4.5052319275738546e-05,4.52427089629812e-06,4.444567479979796e-06,0.00015010364686305412,4.433218955742975e-05,0.00010275265485061167
27525120,0.0002262063140926788,4.4834093568211384e-05,3.931042952212358e-06,4.5848401418028495e-06,0.00011440674377175407,4.2891473284550236e-05,7.968026142996436e-05
41287680,0.00015111078724441116,4.417646652919967e-05,3.31388636865515e-06,2.938963545350284e-06,7.772084039762198e-05,4.1676210231931167e-05,3.876684854855783e-05
55050240,0.00011370475563809664,4.4212081180805814e-05,2.929011915897082e-06,3.0003557683588876e-06,5.975137816946322e-05,4.119134357452502e-05,2.646923838842671e-05
82575360,7.588581507054732e-05,4.391497692279357e-05,2.5074102873459957e-06,2.289212764781313e-06,4.120753616149567e-05,4.008093891328986e-05,1.3510998208571607e-05
110100480,5.7298637546173616e-05,4.387859199700875e-05,2.2153825546635606e-06,2.043070098871475e-06,3.234878146017394e-05,3.9969617005948574e-05,7.748692921879058e-06
165150720,3.857958511083e-05,4.36129165651489e-05,1.8449010633818978e-06,1.8767553019590811e-06,2.311854085129812e-05,3.9449244190230436e-05,3.462168034647999e-06
220200960,2.91219069578282e-05,4.361065379998506e-05,1.6491656403431357e-06,1.7753787310937153e-06,1.859124844665487e-05,3.93623644434973e-05,1.903733815724946e-06
330301440,1.983309316010802e-05,4.349002081597652e-05,1.50009647006172e-06,1.7179152363859411e-06,1.4045104089685959e-05,3.8899058847689154e-05,1.7335751684463192e-06
440401920,1.5140672330083404e-05,4.356774207688988e-05,1.4153674420184997e-06,1.6462083035540177e-06,1.1741143061668721e-05,3.899061215920411e-05,1.623738905863449e-06
660602880,1.049209860663569e-05,4.348992801240104e-05,1.3415455624171359e-06,1.6373476252710184e-06,9.481917383025644e-06,3.869211770817316e-05,1.557210615229854e-06
1321205760,5.843563503941603e-06,4.345143685982467e-05,1.271080180652133e-06,1.5979897320204605e-06,7.237483864477788e-06,3.8589024601192813e-05,1.4463350143677974e-06
2642411520,3.5139848858172935e-06,4.344281202508041e-05,1.2335137060925073e-06,1.5723591041653866e-06,6.097550903449856e-06,3.854536350011532e-05,1.3863375934668827e-06
5284823040,2.337849154451863e-06,4.3454501397182854e-05,1.2135428340627504e-06,1.5623352837162784e-06,5.532617231146185e-06,3.8478878470828456e-05,1.3556353329070948e-06
,,,,,,,
