Samples,Noisy_VMC,UNET,BM4D,FFT,Local_Reg
10240,0.44745637492467755,0.002833188008873246,0.006173546899223405,0.0007716768226325421,0.2385892242260297
20480,0.29269498663280646,0.0017519202519041379,0.00218470745547325,0.00037949244095305054,0.14296393954323242
40960,0.16936263946141383,0.0010902631973944902,0.0007882709765702457,0.000376594842200277,0.07751801499280356
81920,0.0901338030378192,0.0006034141334507261,0.0002858015249990147,0.00018202493991624903,0.039766042872690546
163840,0.04466968491421163,0.0003365650158663668,0.00012841634170693538,0.00017021310794393946,0.019890628725014473
327680,0.02115961140292501,0.00018257870639986097,6.75480903235913e-05,0.00012433696291303786,0.009733073152341455
430080,0.015750387283524455,0.0001498769028851395,5.0791163688920764e-05,6.943723931875953e-05,0.007353047030713797
655360,0.009959496050937077,0.0001106360669355694,3.797334661693178e-05,5.799084731261237e-05,0.0047324940414132785
860160,0.0074468856613225335,9.475253677202889e-05,3.08047768495432e-05,5.456354656463819e-05,0.0035686003276407894
1310720,0.004831701566194899,7.511068327752822e-05,2.3911116791072485e-05,3.727165366458061e-05,0.0023252631353296005
1720320,0.0036240334451517267,6.781689956231551e-05,1.8737416211381495e-05,3.258676221468244e-05,0.0017575857627097685
2621440,0.0023806291485216945,5.835150521206347e-05,1.5137179560671056e-05,2.3595214312532686e-05,0.0011583164372064335
3440640,0.0017968437996569524,5.565030891382011e-05,1.2554301335920845e-05,1.8696064697238217e-05,0.0008781197148154925
5160960,0.0012031512516477445,5.101120750615408e-05,9.891414976809965e-06,9.42484232231972e-06,0.0005859393963396874
5242880,0.001183841181523899,5.087265781778431e-05,9.551625902182665e-06,1.039294366000203e-05,0.0005789704287558355
6881280,0.0009014069997064035,4.922555544778336e-05,8.379107491962914e-06,1.0892102634738487e-05,0.0004438164708606761
10321920,0.0006003742126535325,4.7247704399062784e-05,6.816248045549217e-06,6.023249811596284e-06,0.00029553525859186736
10485760,0.0005923302612628243,4.6760463369853195e-05,6.599787611474314e-06,5.93666518081904e-06,0.00029258697531968293
13762560,0.00044991160310078654,4.6420840733957705e-05,5.54972661495036e-06,6.466678428983334e-06,0.00022298057591262492
20643840,0.0003004075777354995,4.5052319275738546e-05,4.52427089629812e-06,4.444567479979796e-06,0.00015010364686305412
27525120,0.0002262063140926788,4.4834093568211384e-05,3.931042952212358e-06,4.5848401418028495e-06,0.00011440674377175407
41287680,0.00015111078724441116,4.417646652919967e-05,3.31388636865515e-06,2.938963545350284e-06,7.772084039762198e-05
55050240,0.00011370475563809664,4.4212081180805814e-05,2.929011915897082e-06,3.0003557683588876e-06,5.975137816946322e-05
82575360,7.588581507054732e-05,4.391497692279357e-05,2.5074102873459957e-06,2.289212764781313e-06,4.120753616149567e-05
110100480,5.7298637546173616e-05,4.387859199700875e-05,2.2153825546635606e-06,2.043070098871475e-06,3.234878146017394e-05
165150720,3.857958511083e-05,4.36129165651489e-05,1.8449010633818978e-06,1.8767553019590811e-06,2.311854085129812e-05
220200960,2.91219069578282e-05,4.361065379998506e-05,1.6491656403431357e-06,1.7753787310937153e-06,1.859124844665487e-05
330301440,1.983309316010802e-05,4.349002081597652e-05,1.50009647006172e-06,1.7179152363859411e-06,1.4045104089685959e-05
440401920,1.5140672330083404e-05,4.356774207688988e-05,1.4153674420184997e-06,1.6462083035540177e-06,1.1741143061668721e-05
660602880,1.049209860663569e-05,4.348992801240104e-05,1.3415455624171359e-06,1.6373476252710184e-06,9.481917383025644e-06
1321205760,5.843563503941603e-06,4.345143685982467e-05,1.271080180652133e-06,1.5979897320204605e-06,7.237483864477788e-06
2642411520,3.5139848858172935e-06,4.344281202508041e-05,1.2335137060925073e-06,1.5723591041653866e-06,6.097550903449856e-06
5284823040,2.337849154451863e-06,4.3454501397182854e-05,1.2135428340627504e-06,1.5623352837162784e-06,5.532617231146185e-06
