sample_num,jsd_denoised
10240,"tf.Tensor(0.00016649909, shape=(), dtype=float32)"
20480,"tf.Tensor(0.00016371977, shape=(), dtype=float32)"
40960,"tf.Tensor(0.00016162766, shape=(), dtype=float32)"
81920,"tf.Tensor(0.00016054514, shape=(), dtype=float32)"
163840,"tf.Tensor(0.00015939609, shape=(), dtype=float32)"
327680,"tf.Tensor(0.00015973694, shape=(), dtype=float32)"
430080,"tf.Tensor(0.00015924175, shape=(), dtype=float32)"
655360,"tf.Tensor(0.00015948349, shape=(), dtype=float32)"
860160,"tf.Tensor(0.00015960768, shape=(), dtype=float32)"
1310720,"tf.Tensor(0.0001583435, shape=(), dtype=float32)"
1720320,"tf.Tensor(0.00015868322, shape=(), dtype=float32)"
2621440,"tf.Tensor(0.00015896466, shape=(), dtype=float32)"
3440640,"tf.Tensor(0.00015939045, shape=(), dtype=float32)"
5160960,"tf.Tensor(0.00015816787, shape=(), dtype=float32)"
5242880,"tf.Tensor(0.00015833147, shape=(), dtype=float32)"
6881280,"tf.Tensor(0.00015792594, shape=(), dtype=float32)"
10321920,"tf.Tensor(0.00015790088, shape=(), dtype=float32)"
10485760,"tf.Tensor(0.00015841876, shape=(), dtype=float32)"
13762560,"tf.Tensor(0.00015863254, shape=(), dtype=float32)"
20643840,"tf.Tensor(0.0001581203, shape=(), dtype=float32)"
27525120,"tf.Tensor(0.00015873223, shape=(), dtype=float32)"
41287680,"tf.Tensor(0.00015872056, shape=(), dtype=float32)"
55050240,"tf.Tensor(0.00015864191, shape=(), dtype=float32)"
82575360,"tf.Tensor(0.00015874562, shape=(), dtype=float32)"
110100480,"tf.Tensor(0.0001591911, shape=(), dtype=float32)"
165150720,"tf.Tensor(0.00015852033, shape=(), dtype=float32)"
220200960,"tf.Tensor(0.00015889079, shape=(), dtype=float32)"
330301440,"tf.Tensor(0.00015859827, shape=(), dtype=float32)"
440401920,"tf.Tensor(0.00015857579, shape=(), dtype=float32)"
660602880,"tf.Tensor(0.00015854498, shape=(), dtype=float32)"
1321205760,"tf.Tensor(0.00015871998, shape=(), dtype=float32)"
2642411520,"tf.Tensor(0.00015866378, shape=(), dtype=float32)"
5284823040,"tf.Tensor(0.00015869849, shape=(), dtype=float32)"
