scunet_trained,scunet_pre,scunet_ft,nature,CAE,bm3d
"(10240, np.float64(0.00011184739838776772))","(10240, np.float64(0.00011950240637614409))","(10240, np.float64(0.00011321145580153201))","(10240, np.float64(0.00010660706315402985))","(10240, np.float64(0.00010660706315402985))","(10240, np.float64(0.00011958633261269858))"
"(20480, np.float64(0.00010906552066505534))","(20480, np.float64(0.0001169973761952416))","(20480, np.float64(0.00011034283319519983))","(20480, np.float64(0.0001064392678211208))","(20480, np.float64(0.0001064392678211208))","(20480, np.float64(0.0001169642350718891))"
"(40960, np.float64(0.00010528145249336598))","(40960, np.float64(0.00011387891040623058))","(40960, np.float64(0.00010663694415799147))","(40960, np.float64(0.0001060618624605961))","(40960, np.float64(0.0001060618624605961))","(40960, np.float64(0.00011366465479279522))"
"(81920, np.float64(0.00010179085268621783))","(81920, np.float64(0.00011089558326752198))","(81920, np.float64(0.00010330066324480622))","(81920, np.float64(0.00010521141351700554))","(81920, np.float64(0.00010521141351700554))","(81920, np.float64(0.00011064567842934903))"
"(163840, np.float64(9.943530279750399e-05))","(163840, np.float64(0.00010810775418080375))","(163840, np.float64(0.00010096041932231253))","(163840, np.float64(0.00010380862547663193))","(163840, np.float64(0.00010380862547663193))","(163840, np.float64(0.00010787149951617416))"
"(327680, np.float64(9.842702770309325e-05))","(327680, np.float64(0.00010563806414445577))","(327680, np.float64(9.938840629059713e-05))","(327680, np.float64(0.00010226295683937629))","(327680, np.float64(0.00010226295683937629))","(327680, np.float64(0.00010537494225523861))"
"(430080, np.float64(9.813020018907006e-05))","(430080, np.float64(0.00010529292897345673))","(430080, np.float64(9.892843718006937e-05))","(430080, np.float64(0.00010204912181982645))","(430080, np.float64(0.00010204912181982645))","(430080, np.float64(0.00010499762429671403))"
"(655360, np.float64(9.716772134347719e-05))","(655360, np.float64(0.00010387652445898433))","(655360, np.float64(9.80035037236197e-05))","(655360, np.float64(0.0001010260528389434))","(655360, np.float64(0.0001010260528389434))","(655360, np.float64(0.00010360294352843045))"
"(860160, np.float64(9.66737531872879e-05))","(860160, np.float64(0.00010326437568643471))","(860160, np.float64(9.74970743105232e-05))","(860160, np.float64(0.00010064052130937659))","(860160, np.float64(0.00010064052130937659))","(860160, np.float64(0.0001029531451145013))"
"(1310720, np.float64(9.583558709337768e-05))","(1310720, np.float64(0.00010232217664736292))","(1310720, np.float64(9.644094196836958e-05))","(1310720, np.float64(9.985089568219379e-05))","(1310720, np.float64(9.985089568219379e-05))","(1310720, np.float64(0.00010200358615294307))"
"(1720320, np.float64(9.517695578878105e-05))","(1720320, np.float64(0.00010143949957118144))","(1720320, np.float64(9.575799423571651e-05))","(1720320, np.float64(9.912941395942761e-05))","(1720320, np.float64(9.912941395942761e-05))","(1720320, np.float64(0.00010109604978224722))"
"(2621440, np.float64(9.388407048673643e-05))","(2621440, np.float64(0.00010056631235455316))","(2621440, np.float64(9.43760538119403e-05))","(2621440, np.float64(9.828382635097158e-05))","(2621440, np.float64(9.828382635097158e-05))","(2621440, np.float64(0.00010020436175857724))"
"(3440640, np.float64(9.281363501555024e-05))","(3440640, np.float64(9.948772709960325e-05))","(3440640, np.float64(9.342915983416957e-05))","(3440640, np.float64(9.741519967826679e-05))","(3440640, np.float64(9.741519967826679e-05))","(3440640, np.float64(9.912918594513679e-05))"
"(5160960, np.float64(9.119192475279314e-05))","(5160960, np.float64(9.86534797256026e-05))","(5160960, np.float64(9.202393472473762e-05))","(5160960, np.float64(9.670107662993732e-05))","(5160960, np.float64(9.670107662993732e-05))","(5160960, np.float64(9.831161582183964e-05))"
"(5242880, np.float64(9.119378285233495e-05))","(5242880, np.float64(9.803636673982274e-05))","(5242880, np.float64(9.189079347685076e-05))","(5242880, np.float64(9.623990164430843e-05))","(5242880, np.float64(9.623990164430843e-05))","(5242880, np.float64(9.769172845477046e-05))"
"(6881280, np.float64(8.995952621167319e-05))","(6881280, np.float64(9.72531331140844e-05))","(6881280, np.float64(9.07783990978793e-05))","(6881280, np.float64(9.559372287423998e-05))","(6881280, np.float64(9.559372287423998e-05))","(6881280, np.float64(9.689963927377726e-05))"
"(10321920, np.float64(8.819429419295724e-05))","(10321920, np.float64(9.561938579094583e-05))","(10321920, np.float64(8.87966462589347e-05))","(10321920, np.float64(9.413652778211691e-05))","(10321920, np.float64(9.413652778211691e-05))","(10321920, np.float64(9.530475143113786e-05))"
"(10485760, np.float64(8.820861644905389e-05))","(10485760, np.float64(9.584529054036674e-05))","(10485760, np.float64(8.917182539758881e-05))","(10485760, np.float64(9.42632527418492e-05))","(10485760, np.float64(9.42632527418492e-05))","(10485760, np.float64(9.552098254519484e-05))"
"(13762560, np.float64(8.674929349934786e-05))","(13762560, np.float64(9.486230309851433e-05))","(13762560, np.float64(8.792028407578073e-05))","(13762560, np.float64(9.34198122516007e-05))","(13762560, np.float64(9.34198122516007e-05))","(13762560, np.float64(9.456468383939022e-05))"
"(20643840, np.float64(8.544746046132114e-05))","(20643840, np.float64(9.382916241130101e-05))","(20643840, np.float64(8.63191930310499e-05))","(20643840, np.float64(9.245028365895175e-05))","(20643840, np.float64(9.245028365895175e-05))","(20643840, np.float64(9.360053409865378e-05))"
"(27525120, np.float64(8.395548749365289e-05))","(27525120, np.float64(9.226546175821653e-05))","(27525120, np.float64(8.50996807339356e-05))","(27525120, np.float64(9.105466673788699e-05))","(27525120, np.float64(9.105466673788699e-05))","(27525120, np.float64(9.199980566454845e-05))"
"(41287680, np.float64(8.239464200795485e-05))","(41287680, np.float64(9.078957584174686e-05))","(41287680, np.float64(8.351275228847641e-05))","(41287680, np.float64(8.999752115737555e-05))","(41287680, np.float64(8.999752115737555e-05))","(41287680, np.float64(9.058194322618605e-05))"
"(55050240, np.float64(8.131587679614685e-05))","(55050240, np.float64(8.96411914553243e-05))","(55050240, np.float64(8.247219031583256e-05))","(55050240, np.float64(8.884951129985615e-05))","(55050240, np.float64(8.884951129985615e-05))","(55050240, np.float64(8.946858676878996e-05))"
"(82575360, np.float64(7.975831208596892e-05))","(82575360, np.float64(8.780274795398154e-05))","(82575360, np.float64(8.095447964621329e-05))","(82575360, np.float64(8.765245677781904e-05))","(82575360, np.float64(8.765245677781904e-05))","(82575360, np.float64(8.76581387707449e-05))"
