scunet_trained,scunet_pre,scunet_ft,nature,CAE,bm3d
"(10240, np.float64(0.005857386623088759))","(10240, np.float64(0.12312900595949405))","(10240, np.float64(0.010071829360482653))","(10240, np.float64(0.022760284264682556))","(10240, np.float64(0.022760284264682556))","(10240, np.float64(0.04604094731320563))"
"(20480, np.float64(0.0021020991080942567))","(20480, np.float64(0.07733200484209808))","(20480, np.float64(0.003116529672776005))","(20480, np.float64(0.008786091381469522))","(20480, np.float64(0.008786091381469522))","(20480, np.float64(0.0338072206624249))"
"(40960, np.float64(0.0009444639596860139))","(40960, np.float64(0.04373080135190993))","(40960, np.float64(0.0010885409012773145))","(40960, np.float64(0.003069292708103366))","(40960, np.float64(0.003069292708103366))","(40960, np.float64(0.021310107729642973))"
"(81920, np.float64(0.0006476092349527851))","(81920, np.float64(0.02592117534511905))","(81920, np.float64(0.0006117670164942373))","(81920, np.float64(0.0013551285202845138))","(81920, np.float64(0.0013551285202845138))","(81920, np.float64(0.01435876764162351))"
"(163840, np.float64(0.0005699674951550652))","(163840, np.float64(0.01499570379769127))","(163840, np.float64(0.0004893829832035906))","(163840, np.float64(0.0009756132141062111))","(163840, np.float64(0.0009756132141062111))","(163840, np.float64(0.009840167394287473))"
"(327680, np.float64(0.0005815531304713234))","(327680, np.float64(0.009159455514063884))","(327680, np.float64(0.0004733034063727615))","(327680, np.float64(0.0007750981627761092))","(327680, np.float64(0.0007750981627761092))","(327680, np.float64(0.007378614651277712))"
"(430080, np.float64(0.0005783160646327287))","(430080, np.float64(0.007591534233690341))","(430080, np.float64(0.00047769217390674284))","(430080, np.float64(0.0007712335789807678))","(430080, np.float64(0.0007712335789807678))","(430080, np.float64(0.006561528622673364))"
"(655360, np.float64(0.0006170183274223032))","(655360, np.float64(0.0063311854309613435))","(655360, np.float64(0.0004997535340068126))","(655360, np.float64(0.0007744708637643443))","(655360, np.float64(0.0007744708637643443))","(655360, np.float64(0.005990618389985222))"
"(860160, np.float64(0.0006337478364401323))","(860160, np.float64(0.005332989276208749))","(860160, np.float64(0.00051191578300936))","(860160, np.float64(0.0007667204561503858))","(860160, np.float64(0.0007667204561503858))","(860160, np.float64(0.0052199586487934055))"
"(1310720, np.float64(0.0006269554951003833))","(1310720, np.float64(0.004471212360223071))","(1310720, np.float64(0.0004979834661123052))","(1310720, np.float64(0.0007525778773912637))","(1310720, np.float64(0.0007525778773912637))","(1310720, np.float64(0.0045845620129173125))"
