scunet_trained,scunet_pre,scunet_ft,nature,CAE,bm3d
"(20488, np.float64(0.0021661974243945828))","(20488, np.float64(0.07997391117550237))","(20488, np.float64(0.0026442060552169977))","(20488, np.float64(0.008532729455551743))","(20488, np.float64(0.008532729455551743))","(20488, np.float64(0.03275075263832273))"
"(40963, np.float64(0.0013071225940318267))","(40963, np.float64(0.046503323036323325))","(40963, np.float64(0.0012551998621987677))","(40963, np.float64(0.003405051641314357))","(40963, np.float64(0.003405051641314357))","(40963, np.float64(0.022563683463292482))"
"(81895, np.float64(0.0009149167067826641))","(81895, np.float64(0.024545582593754306))","(81895, np.float64(0.000726517197530515))","(81895, np.float64(0.0018299884459494413))","(81895, np.float64(0.0018299884459494413))","(81895, np.float64(0.012361098764325626))"
"(163804, np.float64(0.0007202934195747645))","(163804, np.float64(0.013882741019972767))","(163804, np.float64(0.0005678653545286142))","(163804, np.float64(0.001422760215155947))","(163804, np.float64(0.001422760215155947))","(163804, np.float64(0.008669030369484125))"
"(327565, np.float64(0.0005661597878053503))","(327565, np.float64(0.007935145723855827))","(327565, np.float64(0.0004560643383006935))","(327565, np.float64(0.0009499822971552468))","(327565, np.float64(0.0009499822971552468))","(327565, np.float64(0.0062813766590381626))"
"(427938, np.float64(0.0005880885897127348))","(427938, np.float64(0.006992819431514999))","(427938, np.float64(0.00048108645245748243))","(427938, np.float64(0.0009035784784190022))","(427938, np.float64(0.0009035784784190022))","(427938, np.float64(0.006095948813212817))"
"(652279, np.float64(0.0005583335019445898))","(652279, np.float64(0.005351030521007071))","(652279, np.float64(0.00044968113525631446))","(652279, np.float64(0.0008077024964595898))","(652279, np.float64(0.0008077024964595898))","(652279, np.float64(0.005110057372678409))"
"(856341, np.float64(0.0005978578106789864))","(856341, np.float64(0.0049313722340915715))","(856341, np.float64(0.0004754434466005832))","(856341, np.float64(0.0008228526387063556))","(856341, np.float64(0.0008228526387063556))","(856341, np.float64(0.004945981003161155))"
"(1305628, np.float64(0.0005852632697823613))","(1305628, np.float64(0.003948980322624142))","(1305628, np.float64(0.00046827749579541727))","(1305628, np.float64(0.0007526638281272935))","(1305628, np.float64(0.0007526638281272935))","(1305628, np.float64(0.004113924448362932))"
"(1718334, np.float64(0.0005261048316717185))","(1718334, np.float64(0.0032947944142506804))","(1718334, np.float64(0.0004012688947455173))","(1718334, np.float64(0.0006762059625535433))","(1718334, np.float64(0.0006762059625535433))","(1718334, np.float64(0.003476773628843249))"
