scunet_trained,scunet_pre,scunet_ft,nature,CAE,bm3d
"(10240, np.float64(0.006936723653961554))","(10240, np.float64(0.12856554478847101))","(10240, np.float64(0.011001946068131678))","(10240, np.float64(0.022480407604915372))","(10240, np.float64(0.022480407604915372))","(10240, np.float64(0.04633293354057907))"
"(20480, np.float64(0.002143903754535241))","(20480, np.float64(0.08087608829469933))","(20480, np.float64(0.0031683636886962467))","(20480, np.float64(0.008950811451154766))","(20480, np.float64(0.008950811451154766))","(20480, np.float64(0.03371850498321101))"
"(40960, np.float64(0.0008417781743183895))","(40960, np.float64(0.044298030133169776))","(40960, np.float64(0.0011273889883478797))","(40960, np.float64(0.0033127459468913615))","(40960, np.float64(0.0033127459468913615))","(40960, np.float64(0.021309270918576362))"
"(81920, np.float64(0.0004776654044365301))","(81920, np.float64(0.024920909604606207))","(81920, np.float64(0.00045509592038297803))","(81920, np.float64(0.00122143700213653))","(81920, np.float64(0.00122143700213653))","(81920, np.float64(0.01351867944072432))"
"(163840, np.float64(0.0004121378602740181))","(163840, np.float64(0.014105552495608234))","(163840, np.float64(0.0003423650615874596))","(163840, np.float64(0.0008115635222856115))","(163840, np.float64(0.0008115635222856115))","(163840, np.float64(0.009157525272142242))"
"(327680, np.float64(0.00042117414056049013))","(327680, np.float64(0.008476256773220253))","(327680, np.float64(0.00032165983122127716))","(327680, np.float64(0.0006040768680885174))","(327680, np.float64(0.0006040768680885174))","(327680, np.float64(0.006778388966826227))"
"(430080, np.float64(0.0004273315408001901))","(430080, np.float64(0.006903445397406019))","(430080, np.float64(0.0003229939991845167))","(430080, np.float64(0.0005846829975655122))","(430080, np.float64(0.0005846829975655122))","(430080, np.float64(0.00592566851214949))"
"(655360, np.float64(0.0004566511308811269))","(655360, np.float64(0.005225307872553306))","(655360, np.float64(0.00034351623509574017))","(655360, np.float64(0.0005676497861828939))","(655360, np.float64(0.0005676497861828939))","(655360, np.float64(0.004915943454571913))"
"(860160, np.float64(0.00045543800863136706))","(860160, np.float64(0.004716726281610534))","(860160, np.float64(0.00034165697644030315))","(860160, np.float64(0.0005674389861178593))","(860160, np.float64(0.0005674389861178593))","(860160, np.float64(0.004641839110005182))"
"(1310720, np.float64(0.0004784076201772651))","(1310720, np.float64(0.003994299995803119))","(1310720, np.float64(0.0003566207608267616))","(1310720, np.float64(0.0005957748571300667))","(1310720, np.float64(0.0005957748571300667))","(1310720, np.float64(0.00412303566640269))"
"(1720320, np.float64(0.00041970442036417984))","(1720320, np.float64(0.0032731675590447684))","(1720320, np.float64(0.00030747350688570897))","(1720320, np.float64(0.0005440449603772744))","(1720320, np.float64(0.0005440449603772744))","(1720320, np.float64(0.003420745180098673))"
"(2621440, np.float64(0.0003581699065017683))","(2621440, np.float64(0.002396155471279088))","(2621440, np.float64(0.0002531719616799392))","(2621440, np.float64(0.0005366959023432786))","(2621440, np.float64(0.0005366959023432786))","(2621440, np.float64(0.0025176788330711344))"
"(3440640, np.float64(0.0003446998349320855))","(3440640, np.float64(0.0020011472404171645))","(3440640, np.float64(0.00024096883220929674))","(3440640, np.float64(0.0005387549300352608))","(3440640, np.float64(0.0005387549300352608))","(3440640, np.float64(0.0021055819195928173))"
"(5160960, np.float64(0.00030294614171519916))","(5160960, np.float64(0.0013737628731672624))","(5160960, np.float64(0.00020737827697869506))","(5160960, np.float64(0.0005526303709824198))","(5160960, np.float64(0.0005526303709824198))","(5160960, np.float64(0.0014560458961126613))"
"(5242880, np.float64(0.00029955653570382763))","(5242880, np.float64(0.001288552063517008))","(5242880, np.float64(0.00020503529952210555))","(5242880, np.float64(0.0005610045653688081))","(5242880, np.float64(0.0005610045653688081))","(5242880, np.float64(0.0013711294828886395))"
"(6881280, np.float64(0.0002866713393092921))","(6881280, np.float64(0.0010961033556756415))","(6881280, np.float64(0.00019115494934081673))","(6881280, np.float64(0.0005822793010352357))","(6881280, np.float64(0.0005822793010352357))","(6881280, np.float64(0.001171118172439357))"
"(10321920, np.float64(0.00029640161201598234))","(10321920, np.float64(0.0007254983998641405))","(10321920, np.float64(0.00021241839536410262))","(10321920, np.float64(0.0006404396391237342))","(10321920, np.float64(0.0006404396391237342))","(10321920, np.float64(0.0007896785196823298))"
"(10485760, np.float64(0.0002929210404995554))","(10485760, np.float64(0.0006981577843591524))","(10485760, np.float64(0.00020851783044679778))","(10485760, np.float64(0.0006422222483232628))","(10485760, np.float64(0.0006422222483232628))","(10485760, np.float64(0.0007631278965446944))"
"(13762560, np.float64(0.0002902619082721634))","(13762560, np.float64(0.000585516728701672))","(13762560, np.float64(0.00020706169313554216))","(13762560, np.float64(0.0006725687050546288))","(13762560, np.float64(0.0006725687050546288))","(13762560, np.float64(0.0006483004389417852))"
