Samples,Noisy_JSD,Denoised_JSD
35840,0.3401325759192285,0.000286793546084771
71680,0.20401720680106072,0.00022840119891191906
143360,0.1095233351473539,0.0001773778495032286
286720,0.05397133158689736,0.0001335014941446313
430080,0.03480287244242695,0.00011757476565333858
573440,0.025326512371010714,0.00010174362036863577
860160,0.01622084514278069,9.30523381756415e-05
1146880,0.011929180296358277,8.48724123413964e-05
1720320,0.007787764815457986,8.006537198414627e-05
2293760,0.005801848281195462,7.683035801031852e-05
3440640,0.0038248479884236573,7.389794305101827e-05
4587520,0.0028639948462093777,7.209859839981075e-05
5160960,0.0025338370115050514,7.168016402680282e-05
6881280,0.0019013732494608747,7.059963691018375e-05
9175040,0.0014269251824508369,6.96292454216143e-05
10321920,0.001264627313837627,6.973314356830597e-05
13762560,0.0009476444807496379,6.911265572018377e-05
18350080,0.0007137849071779807,6.827836048737405e-05
20643840,0.0006314110889086065,6.853294792689854e-05
27525120,0.00047565234283511156,6.819807174551121e-05
36700160,0.00035736342700410734,6.783451555702855e-05
41287680,0.0003154655824396771,6.803662200363139e-05
55050240,0.00023889952751349777,6.76808010685753e-05
82575360,0.00015735744205989182,6.771248373259373e-05
110100480,0.00012068151622636896,6.750495675940245e-05
165150720,7.833108523088866e-05,6.750412989345796e-05
220200960,6.159243747911484e-05,6.747809721960481e-05
330301440,3.8954069187130024e-05,6.742902440030467e-05
440401920,3.2026503163420706e-05,6.736133212907285e-05
660602880,1.9283488685945942e-05,6.735571663423344e-05
1321205760,9.445646146172105e-06,6.732544923781304e-05
2642411520,4.491982218813685e-06,6.73089488147228e-05
5284823040,2.0379749667627424e-06,6.729194787213487e-05
