Samples,Noisy_JSD,Denoised_JSD
35864,0.3338453441848961,9.147157684279565e-05
71704,0.20142867836926234,7.089631495592204e-05
143001,0.10981171730113357,6.40839535841186e-05
284843,0.05509510167883993,6.168286727064627e-05
429818,0.035276175964594224,6.103288912010565e-05
572336,0.025864408955058038,6.0872236282168936e-05
859133,0.01661726468725288,6.0651200259046534e-05
1151254,0.012120930675962092,6.060687515122166e-05
1708790,0.008049117127244182,6.051808050865108e-05
2320354,0.005849300580519787,6.052226563363197e-05
3428279,0.003929123910742822,6.0489128303859104e-05
4608672,0.0029175855350613623,6.049120138051164e-05
5172857,0.002589625070875822,6.0484823235724746e-05
6846700,0.0019607957268751586,6.047181025229196e-05
9218775,0.001456597915065686,6.0470217220876806e-05
10345282,0.001288725850657953,6.046934430735843e-05
13714812,0.0009780605204526653,6.0462681586770264e-05
18439597,0.0007254151956402093,6.04636074022264e-05
20666860,0.0006449422536757846,6.045866971709437e-05
27510025,0.0004868474324607292,6.045966753411235e-05
36755284,0.00036373924157527066,6.0460263967330904e-05
41267944,0.0003239274465033227,6.0455371220481996e-05
54986698,0.0002451166150904487,6.0456782761641954e-05
82469152,0.00016392087834894364,6.045418346036728e-05
109934507,0.00012391287852285876,6.045486792536919e-05
164993029,8.320547767037292e-05,6.045540389714927e-05
219926078,6.308448114340953e-05,6.045451012802103e-05
330152173,4.296160507073669e-05,6.045507114479364e-05
440048473,3.29847142422437e-05,6.045526488418319e-05
660635821,2.2741730044331826e-05,6.045556433319754e-05
1320956485,1.2695926941518139e-05,6.0455887635727876e-05
2642064198,7.598266406109436e-06,6.045531288595463e-05
5284090178,5.035688670063898e-06,6.0455085336489506e-05
