Samples,Noisy_JSD,Denoised_JSD
35864,0.3338453441848961,0.0027169778833823657
71704,0.20142867836926234,0.0023595214283863007
143001,0.10981171730113357,0.0018642516187705224
284843,0.05509510167883993,0.0012979140699745056
429818,0.035276175964594224,0.0009736553257385035
572336,0.025864408955058038,0.0008002284626318707
859133,0.01661726468725288,0.00058254003423144
1151254,0.012120930675962092,0.00045461849760485126
1708790,0.008049117127244182,0.0003540467408385151
2320354,0.005849300580519787,0.0002652505880792645
3428279,0.003929123910742822,0.0001993857885348213
4608672,0.0029175855350613623,0.00016926883047094007
5172857,0.002589625070875822,0.0001561478975407212
6846700,0.0019607957268751586,0.0001378841183190088
9218775,0.001456597915065686,0.00011511209059725938
10345282,0.001288725850657953,0.00010156207276009854
13714812,0.0009780605204526653,0.00010048194060037251
18439597,0.0007254151956402093,8.923166600661299e-05
20666860,0.0006449422536757846,7.758350577363892e-05
27510025,0.0004868474324607292,8.207093289836342e-05
36755284,0.00036373924157527066,7.657025048266124e-05
41267944,0.0003239274465033227,7.012626463831923e-05
54986698,0.0002451166150904487,7.543772860991408e-05
82469152,0.00016392087834894364,6.589139233241562e-05
109934507,0.00012391287852285876,7.135952871653703e-05
164993029,8.320547767037292e-05,6.468292549030673e-05
219926078,6.308448114340953e-05,6.74748583820786e-05
330152173,4.296160507073669e-05,6.529959795933958e-05
440048473,3.29847142422437e-05,6.680326203403441e-05
660635821,2.2741730044331826e-05,6.607726494428384e-05
1320956485,1.2695926941518139e-05,6.672595666141669e-05
2642064198,7.598266406109436e-06,6.690669352330049e-05
5284090178,5.035688670063898e-06,6.694426476762291e-05
