Samples,Noisy_JSD,Denoised_JSD
35840,0.3401325759192285,0.0005889998702882781
71680,0.20401720680106072,0.00036888261619723973
143360,0.1095233351473539,0.0002637221751843497
286720,0.05397133158689736,0.0001771304007080245
430080,0.03480287244242695,0.00013337943862818904
573440,0.025326512371010714,0.00011344686126919314
860160,0.01622084514278069,8.87974226395603e-05
1146880,0.011929180296358277,7.830377248727734e-05
1720320,0.007787764815457986,6.770732941373562e-05
2293760,0.005801848281195462,6.282564891786627e-05
3440640,0.0038248479884236573,5.826211223269778e-05
4587520,0.0028639948462093777,5.796833720120735e-05
5160960,0.0025338370115050514,5.736584427311529e-05
6881280,0.0019013732494608747,5.791446180268696e-05
9175040,0.0014269251824508369,5.762671461755011e-05
10321920,0.001264627313837627,5.72785474474574e-05
13762560,0.0009476444807496379,5.905845929453868e-05
18350080,0.0007137849071779807,5.854431191425617e-05
20643840,0.0006314110889086065,5.837862929525015e-05
27525120,0.00047565234283511156,5.969378745068995e-05
36700160,0.00035736342700410734,5.9231165759030975e-05
41287680,0.0003154655824396771,5.942787146264189e-05
55050240,0.00023889952751349777,6.0236801600863335e-05
82575360,0.00015735744205989182,6.033984344043249e-05
110100480,0.00012068151622636896,6.097100836756176e-05
165150720,7.833108523088866e-05,6.138953261272795e-05
220200960,6.159243747911484e-05,6.172545696630577e-05
330301440,3.8954069187130024e-05,6.200787425676563e-05
440401920,3.2026503163420706e-05,6.229421683465125e-05
660602880,1.9283488685945942e-05,6.248222914771678e-05
1321205760,9.445646146172105e-06,6.278697185984425e-05
2642411520,4.491982218813685e-06,6.302774375547036e-05
5284823040,2.0379749667627424e-06,6.316016274299697e-05
