sample_num,jsd_denoised
10240,"tf.Tensor(7.846199e-05, shape=(), dtype=float32)"
20480,"tf.Tensor(7.7547396e-05, shape=(), dtype=float32)"
40960,"tf.Tensor(7.7251374e-05, shape=(), dtype=float32)"
81920,"tf.Tensor(7.6988516e-05, shape=(), dtype=float32)"
163840,"tf.Tensor(7.680828e-05, shape=(), dtype=float32)"
327680,"tf.Tensor(7.683039e-05, shape=(), dtype=float32)"
430080,"tf.Tensor(7.682548e-05, shape=(), dtype=float32)"
655360,"tf.Tensor(7.6878394e-05, shape=(), dtype=float32)"
860160,"tf.Tensor(7.6887896e-05, shape=(), dtype=float32)"
1310720,"tf.Tensor(7.6854645e-05, shape=(), dtype=float32)"
1720320,"tf.Tensor(7.682428e-05, shape=(), dtype=float32)"
2621440,"tf.Tensor(7.6918295e-05, shape=(), dtype=float32)"
3440640,"tf.Tensor(7.706763e-05, shape=(), dtype=float32)"
5160960,"tf.Tensor(7.664086e-05, shape=(), dtype=float32)"
5242880,"tf.Tensor(7.6764336e-05, shape=(), dtype=float32)"
6881280,"tf.Tensor(7.678932e-05, shape=(), dtype=float32)"
10321920,"tf.Tensor(7.6990575e-05, shape=(), dtype=float32)"
10485760,"tf.Tensor(7.692628e-05, shape=(), dtype=float32)"
13762560,"tf.Tensor(7.681861e-05, shape=(), dtype=float32)"
20643840,"tf.Tensor(7.685156e-05, shape=(), dtype=float32)"
27525120,"tf.Tensor(7.671582e-05, shape=(), dtype=float32)"
41287680,"tf.Tensor(7.683526e-05, shape=(), dtype=float32)"
55050240,"tf.Tensor(7.693236e-05, shape=(), dtype=float32)"
82575360,"tf.Tensor(7.695562e-05, shape=(), dtype=float32)"
110100480,"tf.Tensor(7.679273e-05, shape=(), dtype=float32)"
165150720,"tf.Tensor(7.696333e-05, shape=(), dtype=float32)"
220200960,"tf.Tensor(7.6805154e-05, shape=(), dtype=float32)"
330301440,"tf.Tensor(7.6837285e-05, shape=(), dtype=float32)"
440401920,"tf.Tensor(7.6815915e-05, shape=(), dtype=float32)"
660602880,"tf.Tensor(7.680167e-05, shape=(), dtype=float32)"
1321205760,"tf.Tensor(7.690419e-05, shape=(), dtype=float32)"
2642411520,"tf.Tensor(7.688223e-05, shape=(), dtype=float32)"
5284823040,"tf.Tensor(7.684385e-05, shape=(), dtype=float32)"
