sample_num,jsd_denoised
20488,"tf.Tensor(0.000111151996, shape=(), dtype=float32)"
40963,"tf.Tensor(0.00011023617, shape=(), dtype=float32)"
81895,"tf.Tensor(0.00010943265, shape=(), dtype=float32)"
163804,"tf.Tensor(0.00010916175, shape=(), dtype=float32)"
327565,"tf.Tensor(0.00010871874, shape=(), dtype=float32)"
427938,"tf.Tensor(0.000108514476, shape=(), dtype=float32)"
652279,"tf.Tensor(0.000108734836, shape=(), dtype=float32)"
856341,"tf.Tensor(0.00010859335, shape=(), dtype=float32)"
1305628,"tf.Tensor(0.00010851004, shape=(), dtype=float32)"
1718334,"tf.Tensor(0.000108631066, shape=(), dtype=float32)"
2600974,"tf.Tensor(0.000108708366, shape=(), dtype=float32)"
3430082,"tf.Tensor(0.00010852326, shape=(), dtype=float32)"
5156914,"tf.Tensor(0.00010829515, shape=(), dtype=float32)"
5221839,"tf.Tensor(0.00010826874, shape=(), dtype=float32)"
6859080,"tf.Tensor(0.000108358625, shape=(), dtype=float32)"
10306478,"tf.Tensor(0.00010834976, shape=(), dtype=float32)"
10460209,"tf.Tensor(0.000108374064, shape=(), dtype=float32)"
13716305,"tf.Tensor(0.00010892609, shape=(), dtype=float32)"
20619634,"tf.Tensor(0.000108470515, shape=(), dtype=float32)"
20928124,"tf.Tensor(0.00010852272, shape=(), dtype=float32)"
27440029,"tf.Tensor(0.00010842591, shape=(), dtype=float32)"
41261398,"tf.Tensor(0.0001086026, shape=(), dtype=float32)"
54957135,"tf.Tensor(0.000108555905, shape=(), dtype=float32)"
82548320,"tf.Tensor(0.000108708075, shape=(), dtype=float32)"
109925408,"tf.Tensor(0.000108529275, shape=(), dtype=float32)"
165018425,"tf.Tensor(0.00010830072, shape=(), dtype=float32)"
220027529,"tf.Tensor(0.00010860656, shape=(), dtype=float32)"
330061239,"tf.Tensor(0.000108689055, shape=(), dtype=float32)"
439937606,"tf.Tensor(0.00010867331, shape=(), dtype=float32)"
660235265,"tf.Tensor(0.00010841422, shape=(), dtype=float32)"
1320533024,"tf.Tensor(0.00010851113, shape=(), dtype=float32)"
2641506675,"tf.Tensor(0.0001083214, shape=(), dtype=float32)"
5283219951,"tf.Tensor(0.00010866997, shape=(), dtype=float32)"
