Samples,Noisy_JSD,Denoised_JSD
20488,0.2876615768140123,0.004392288691547197
40963,0.16942928195193813,0.0022968721913435726
81895,0.09180837428770634,0.0013814999992956595
163804,0.04657319897135265,0.0009133717071320223
327565,0.022459842340894678,0.0005730492036788897
427938,0.016519959825665526,0.00040951372935559666
652279,0.010649255148754382,0.00038136780046248836
856341,0.007942947858394011,0.0002914599581688754
1305628,0.005160251946477324,0.00023299388215627768
1718334,0.003913107984429142,0.0001999566928885272
2600974,0.002562522169455882,0.00013752294771801805
3430082,0.0019382392789618187,0.00011213212866865547
5156914,0.0012925444834450707,8.567896457897911e-05
5221839,0.0012902075473897425,9.538222186358976e-05
6859080,0.0009800736215414309,7.297474697027227e-05
10306478,0.000660435473274334,6.088406208809572e-05
10460209,0.0006590550244741649,6.717833770621172e-05
13716305,0.0005018031752480575,5.332782359866831e-05
20619634,0.00033768115013700406,4.226785831687085e-05
20928124,0.00034552509000886506,5.199320646564248e-05
27440029,0.0002635323331490806,4.2790843965817475e-05
41261398,0.00018384661521287624,3.8270998734815435e-05
54957135,0.0001471771950452335,3.982248792915992e-05
82548320,0.00010903896523449275,3.889626376458978e-05
109925408,8.943686027104379e-05,3.806732803467747e-05
165018425,6.893914620651788e-05,3.6489867899199735e-05
220027529,6.0421517171305465e-05,3.7342862607902564e-05
330061239,4.9964613579542634e-05,3.6373294783085995e-05
439937606,4.605339170018389e-05,3.708169160721201e-05
660235265,4.0448755757035556e-05,3.622087624275582e-05
1320533024,3.5822590351006385e-05,3.629512379005237e-05
2641506675,3.3670891930124506e-05,3.649645228895705e-05
5283219951,3.291259197702468e-05,3.6870658043016884e-05
