Samples,Noisy_JSD,Denoised_JSD
20488,0.28673665912113205,6.009615369914295e-05
40963,0.1686989400493444,5.638367144433724e-05
81895,0.09129426343047962,5.644399251255215e-05
163804,0.046242574720504644,5.6794371314803624e-05
327565,0.02226630353716976,5.693043547615943e-05
427938,0.016399704526885696,5.6933542221779024e-05
652279,0.01052935819815432,5.69254529721487e-05
856341,0.007860086677200725,5.6910301673841915e-05
1305628,0.0050888442550887985,5.691757935381532e-05
1718334,0.0038439322003804583,5.690930255937274e-05
2600974,0.0025189933239266413,5.6913628642773324e-05
3430082,0.0018910535499186102,5.6910092258866497e-05
5156914,0.0012536404140269517,5.691530092167966e-05
5221839,0.0012511912931231388,5.691324924598848e-05
6859080,0.0009447911464439906,5.691135702989423e-05
10306478,0.0006281563798819576,5.6913318947800024e-05
10460209,0.0006217853341899794,5.6913161686549744e-05
13716305,0.00047128408145640454,5.6912778246119316e-05
20619634,0.0003132677411485037,5.691299619778666e-05
20928124,0.00031196260022637,5.6912883247541654e-05
27440029,0.0002351950114015761,5.691265001080256e-05
41261398,0.0001577399741357315,5.691243717638038e-05
54957135,0.00011811357880180755,5.691216243910856e-05
82548320,7.910906952571257e-05,5.691364694120445e-05
109925408,5.973007210048153e-05,5.691334642528289e-05
165018425,4.032559171655115e-05,5.6913960596221756e-05
220027529,3.039345973954946e-05,5.6913993633277405e-05
330061239,2.0672403391615028e-05,5.691415079085567e-05
439937606,1.5860484080667377e-05,5.691426112988904e-05
660235265,1.1003026444145814e-05,5.6913966386126804e-05
1320533024,6.104845787152444e-06,5.691404069424558e-05
2641506675,3.641849115635836e-06,5.691407407979002e-05
5283219951,2.434704386612307e-06,5.6914156842023294e-05
