Samples,Noisy_JSD,Denoised_JSD
10240,0.44745637492467755,0.00016988673625176177
20480,0.29269498663280646,0.00012668639272066275
40960,0.16936263946141383,0.0001237557391381898
81920,0.0901338030378192,0.0001253046007532699
163840,0.04466968491421163,0.00012649135074658003
327680,0.02115961140292501,0.0001266836543567269
430080,0.015750387283524455,0.00012666418186530433
655360,0.009959496050937077,0.00012661753064011573
860160,0.0074468856613225335,0.00012660464940492184
1310720,0.004831701566194899,0.00012659584614448316
1720320,0.0036240334451517267,0.00012659499935071546
2621440,0.0023806291485216945,0.00012659869358764964
3440640,0.0017968437996569524,0.00012660015766446136
5160960,0.0012031512516477445,0.00012660407206053318
5242880,0.001183841181523899,0.0001266036970286466
6881280,0.0009014069997064035,0.0001266053584181598
10321920,0.0006003742126535325,0.00012660876396163782
10485760,0.0005923302612628243,0.00012660897811475494
13762560,0.00044991160310078654,0.00012660906350945718
20643840,0.0003004075777354995,0.0001266117615954977
27525120,0.0002262063140926788,0.0001266130202817954
41287680,0.00015111078724441116,0.0001266147299391869
55050240,0.00011370475563809664,0.00012661601060600156
82575360,7.588581507054732e-05,0.00012661666568221792
110100480,5.7298637546173616e-05,0.00012661780505482975
165150720,3.857958511083e-05,0.00012661827311457425
220200960,2.91219069578282e-05,0.00012661889978247569
330301440,1.983309316010802e-05,0.00012661913470135493
440401920,1.5140672330083404e-05,0.00012661950609337835
660602880,1.049209860663569e-05,0.00012661956018410875
1321205760,5.843563503941603e-06,0.00012661990463210028
2642411520,3.5139848858172935e-06,0.00012662006333245533
5284823040,2.337849154451863e-06,0.0001266202055524308
