Samples,Noisy_JSD,Denoised_JSD
20488,0.28673665912113205,0.005799320082286943
40963,0.1686989400493444,0.004356636793502871
81895,0.09129426343047962,0.0028919500283623935
163804,0.046242574720504644,0.0017752668615548936
327565,0.02226630353716976,0.0008987797031870781
427938,0.016399704526885696,0.0006428479820287762
652279,0.01052935819815432,0.0004780402407996679
856341,0.007860086677200725,0.0003685728758470395
1305628,0.0050888442550887985,0.00025357939145607153
1718334,0.0038439322003804583,0.00020530794759795025
2600974,0.0025189933239266413,0.00014332578909112946
3430082,0.0018910535499186102,0.00010814716725391031
5156914,0.0012536404140269517,8.612874256297609e-05
5221839,0.0012511912931231388,9.328162626581036e-05
6859080,0.0009447911464439906,7.732284962459926e-05
10306478,0.0006281563798819576,6.287348978038e-05
10460209,0.0006217853341899794,6.267812346208102e-05
13716305,0.00047128408145640454,5.811697096540772e-05
20619634,0.0003132677411485037,5.2827030813838285e-05
20928124,0.00031196260022637,4.91359196063738e-05
27440029,0.0002351950114015761,4.721962497918309e-05
41261398,0.0001577399741357315,4.5861196817022634e-05
54957135,0.00011811357880180755,4.2536247746150296e-05
82548320,7.910906952571257e-05,4.079085618362852e-05
109925408,5.973007210048153e-05,3.963042096838455e-05
165018425,4.032559171655115e-05,3.973230738197303e-05
220027529,3.039345973954946e-05,3.82215599357564e-05
330061239,2.0672403391615028e-05,3.819644315669237e-05
439937606,1.5860484080667377e-05,3.759988111201853e-05
660235265,1.1003026444145814e-05,3.776985482062937e-05
1320533024,6.104845787152444e-06,3.754199548275662e-05
2641506675,3.641849115635836e-06,3.735305888865349e-05
5283219951,2.434704386612307e-06,3.7167261691469586e-05
