Samples,Noisy_JSD,Denoised_JSD
10240,0.44745637492467755,0.002833169765312741
20480,0.29269498663280646,0.0017519096146356569
40960,0.16936263946141383,0.0010902493148034656
81920,0.0901338030378192,0.0006034078152314564
163840,0.04466968491421163,0.00033656280181431866
327680,0.02115961140292501,0.0001825727931132384
430080,0.015750387283524455,0.0001498698934795029
655360,0.009959496050937077,0.00011063636874593418
860160,0.0074468856613225335,9.475819676987465e-05
1310720,0.004831701566194899,7.510800468204167e-05
1720320,0.0036240334451517267,6.781615357924192e-05
2621440,0.0023806291485216945,5.8353479684051366e-05
3440640,0.0017968437996569524,5.564972161239369e-05
5160960,0.0012031512516477445,5.1012471352510556e-05
5242880,0.001183841181523899,5.0875025823474906e-05
6881280,0.0009014069997064035,4.922717072822113e-05
10321920,0.0006003742126535325,4.724755634265616e-05
10485760,0.0005923302612628243,4.675998805644476e-05
13762560,0.00044991160310078654,4.642151884939142e-05
20643840,0.0003004075777354995,4.505193984474469e-05
27525120,0.0002262063140926788,4.483384079556686e-05
41287680,0.00015111078724441116,4.417672753097392e-05
55050240,0.00011370475563809664,4.420737198285398e-05
82575360,7.588581507054732e-05,4.39152297599297e-05
110100480,5.7298637546173616e-05,4.387946301362766e-05
165150720,3.857958511083e-05,4.3611212122272756e-05
220200960,2.91219069578282e-05,4.3611861149556964e-05
330301440,1.983309316010802e-05,4.348790038489416e-05
440401920,1.5140672330083404e-05,4.356667961220034e-05
660602880,1.049209860663569e-05,4.34917623791781e-05
1321205760,5.843563503941603e-06,4.345155365875452e-05
2642411520,3.5139848858172935e-06,4.344302138599502e-05
5284823040,2.337849154451863e-06,4.345339425102888e-05
