Samples,Noisy_JSD,Denoised_JSD
35841,0.10618660389348604,0.002171489063583019
71678,0.06002492772023606,0.001959731740638705
143847,0.03151281605209491,0.0014848877641241878
292606,0.015282883420912352,0.0009055014288970999
430693,0.010048767050419271,0.0005880144277562779
579453,0.007351989683570257,0.0004758812553687437
850364,0.004867203259120469,0.00031984851020122823
1139118,0.0035955749209444546,0.00025513382758872254
1713750,0.002350446485814795,0.00015965792597300512
2279912,0.0017572572447738634,0.0001236437056931894
3432210,0.0011618356651938756,7.94341526536724e-05
4598503,0.0008693185022681814,6.663741618365411e-05
5145904,0.0007703869664167251,5.5650233147392815e-05
6841866,0.000580915546430233,4.204742114358589e-05
9187962,0.0004324540144309686,3.324453422661032e-05
10290839,0.0003851787046641622,2.875380763934275e-05
13632362,0.00029097706830719106,2.211962710974075e-05
18309668,0.0002176507711169868,1.7947590320000855e-05
20595287,0.00019294886733965845,1.602257695959649e-05
27468090,0.00014498080845469778,1.2561524525489763e-05
36659503,0.00010900406429644721,9.896290526818867e-06
41245942,9.684745951623443e-05,9.565055249268548e-06
54945912,7.260852007148905e-05,7.092889289043768e-06
82389508,4.8721168584931994e-05,6.2296218265193386e-06
110034071,3.66332080419107e-05,4.773841711079522e-06
164736963,2.4809404997383766e-05,4.426589427156392e-06
220139551,1.8668262549739346e-05,3.591974735380946e-06
329613744,1.2764890052684736e-05,3.5357829831236498e-06
440073516,9.722815667006918e-06,2.985826699388338e-06
659960356,6.748310351476367e-06,2.9877331110589685e-06
1320319778,3.7405075774366284e-06,2.76369294603454e-06
2641383504,2.2476905050553725e-06,2.5868225818665698e-06
5282265534,1.4964534890693325e-06,2.5356424393177134e-06
