Samples,Noisy_JSD,Denoised_JSD
35840,0.12141914465930963,0.0005103827837159479
71680,0.06813884484732152,0.00039260739900068585
143360,0.03553049483207294,0.00027386684790575635
286720,0.017474310419037173,0.00017595445221731178
430080,0.01133196607775086,0.00013831854837749872
573440,0.008351845670014955,0.00011184753383319559
860160,0.005445050177837119,8.952868655601016e-05
1146880,0.004031770847059162,7.483095715911194e-05
1720320,0.0026643267131773985,6.272028835228829e-05
2293760,0.001991854446326226,5.521085324385405e-05
3440640,0.001326899029441627,4.8833409784940354e-05
4587520,0.0010001539714893243,4.56426439201624e-05
5160960,0.0008893854750390388,4.426895043706425e-05
6881280,0.0006726554144952414,4.173119879662552e-05
9175040,0.0005105140529163159,4.0485431287913345e-05
10321920,0.00045616651096953343,3.9894034685281714e-05
13762560,0.0003488082914356882,3.8224249459260295e-05
18350080,0.00026788119775622565,3.781460447362436e-05
20643840,0.00024116921943189812,3.7958887154360456e-05
27525120,0.0001868169660077173,3.674730530676234e-05
36700160,0.00014669935278194198,3.6432801382451934e-05
41287680,0.00013344116905552927,3.648232571905918e-05
55050240,0.00010632418013955955,3.616903696885448e-05
82575360,7.964108394775118e-05,3.598319457275895e-05
110100480,6.625796336177216e-05,3.585179525372307e-05
165150720,5.2664254181486564e-05,3.565917717096405e-05
220200960,4.597810438887126e-05,3.5615696354154085e-05
330301440,3.9221747200370746e-05,3.5532565376488605e-05
440401920,3.585435181757175e-05,3.549943716425032e-05
660602880,3.249415818024461e-05,3.546742676344819e-05
1321205760,2.913182735277357e-05,3.5430094581467574e-05
2642411520,2.748268658171887e-05,3.5445932460111034e-05
5284823040,2.6634327455910138e-05,3.542839035535582e-05
