Samples,Noisy_JSD,Denoised_JSD
35841,0.10618660389348604,6.341678750562065e-05
71678,0.06002492772023606,5.744973629592972e-05
143847,0.03151281605209491,5.489788539483869e-05
292606,0.015282883420912352,5.384559332333048e-05
430693,0.010048767050419271,5.342300664217737e-05
579453,0.007351989683570257,5.338233400777802e-05
850364,0.004867203259120469,5.317792314098765e-05
1139118,0.0035955749209444546,5.3138164129917324e-05
1713750,0.002350446485814795,5.3052895019924534e-05
2279912,0.0017572572447738634,5.303081316593256e-05
3432210,0.0011618356651938756,5.2999650777934686e-05
4598503,0.0008693185022681814,5.2987759347684706e-05
5145904,0.0007703869664167251,5.297373221943743e-05
6841866,0.000580915546430233,5.296665291205408e-05
9187962,0.0004324540144309686,5.2962070395667755e-05
10290839,0.0003851787046641622,5.295597635204881e-05
13632362,0.00029097706830719106,5.295554237755308e-05
18309668,0.0002176507711169868,5.295269743983412e-05
20595287,0.00019294886733965845,5.294779941661585e-05
27468090,0.00014498080845469778,5.294911711351296e-05
36659503,0.00010900406429644721,5.294908813678122e-05
41245942,9.684745951623443e-05,5.2944395980017425e-05
54945912,7.260852007148905e-05,5.29481790665514e-05
82389508,4.8721168584931994e-05,5.294364466123348e-05
110034071,3.66332080419107e-05,5.2947119706428804e-05
164736963,2.4809404997383766e-05,5.294448977696186e-05
220139551,1.8668262549739346e-05,5.2946196366655254e-05
329613744,1.2764890052684736e-05,5.29450081635661e-05
440073516,9.722815667006918e-06,5.29466646478274e-05
659960356,6.748310351476367e-06,5.294586538626407e-05
1320319778,3.7405075774366284e-06,5.294566904055359e-05
2641383504,2.2476905050553725e-06,5.294610119336592e-05
5282265534,1.4964534890693325e-06,5.2946156382048455e-05
