Samples,Noisy_JSD,Denoised_JSD
35841,0.10618660389348604,0.005964058821012988
71678,0.06002492772023606,0.0036012040443286356
143847,0.03151281605209491,0.001988336846621058
292606,0.015282883420912352,0.0010037348282956704
430693,0.010048767050419271,0.0006287676566295881
579453,0.007351989683570257,0.0005015418948703405
850364,0.004867203259120469,0.0003386466726280559
1139118,0.0035955749209444546,0.000270070497945818
1713750,0.002350446485814795,0.0001719125036618116
2279912,0.0017572572447738634,0.00013385615932571924
3432210,0.0011618356651938756,8.779426040759269e-05
4598503,0.0008693185022681814,7.390987178581881e-05
5145904,0.0007703869664167251,6.231259433268136e-05
6841866,0.000580915546430233,4.789770091471191e-05
9187962,0.0004324540144309686,3.823295035563941e-05
10290839,0.0003851787046641622,3.33776040377213e-05
13632362,0.00029097706830719106,2.6331886175226295e-05
18309668,0.0002176507711169868,2.150498796136205e-05
20595287,0.00019294886733965845,1.9516656923719928e-05
27468090,0.00014498080845469778,1.591529134161208e-05
36659503,0.00010900406429644721,1.2829300429399166e-05
41245942,9.684745951623443e-05,1.2455130217675998e-05
54945912,7.260852007148905e-05,9.942767407532397e-06
82389508,4.8721168584931994e-05,8.98460235790154e-06
110034071,3.66332080419107e-05,7.4203983398331485e-06
164736963,2.4809404997383766e-05,7.033074089559401e-06
220139551,1.8668262549739346e-05,6.121762746046605e-06
329613744,1.2764890052684736e-05,6.08548956951436e-06
440073516,9.722815667006918e-06,5.463936622074309e-06
659960356,6.748310351476367e-06,5.4695825160762565e-06
1320319778,3.7405075774366284e-06,5.229383850077548e-06
2641383504,2.2476905050553725e-06,5.032492011472673e-06
5282265534,1.4964534890693325e-06,4.988385876022667e-06
