Samples,Noisy_JSD,Denoised_JSD
35840,0.12165773988694459,0.0012544928909400273
71680,0.06830523246887996,0.000661451516281878
143360,0.03562914065696,0.00033555880340403315
286720,0.01751924007422616,0.0001682394329504265
430080,0.01135463771829267,0.00011699014980249494
573440,0.008362727183853457,8.653633915730086e-05
860160,0.005443379762471156,6.099308757827949e-05
1146880,0.004024961113243482,4.7082477049161154e-05
1720320,0.0026508571700918824,3.398463384644729e-05
2293760,0.00197572408750454,2.6994205045562458e-05
3440640,0.0013075992697285947,2.0564227345377575e-05
4587520,0.0009793094883666237,1.7245602672067662e-05
5160960,0.0008679014009966808,1.593967804557499e-05
6881280,0.0006509080661782744,1.3852252691803409e-05
9175040,0.00048759009614828886,1.218145345388468e-05
10321920,0.0004327090182171057,1.1640112816747716e-05
13762560,0.0003257475834759418,1.0482300895317348e-05
18350080,0.00024414146008909136,9.744322022014655e-06
20643840,0.00021651916371278587,9.491665445994458e-06
27525120,0.0001627841909312729,8.837334186164907e-06
36700160,0.00012251460027482022,8.50460835662775e-06
41287680,0.00010860777949770998,8.336302118145193e-06
55050240,8.173642212260073e-05,8.104238192251154e-06
82575360,5.4510550378613105e-05,7.827538095187408e-06
110100480,4.140883047407751e-05,7.724633010197868e-06
165150720,2.7464887177341197e-05,7.562260773979559e-06
220200960,2.110025935632068e-05,7.53965439534515e-06
330301440,1.3953390651714556e-05,7.4417052116320016e-06
440401920,1.0949537618748573e-05,7.424362743977929e-06
660602880,7.203945656744561e-06,7.382203829980343e-06
1321205760,3.84573357125024e-06,7.357363951377471e-06
2642411520,2.15620794707712e-06,7.345178190291389e-06
5284823040,1.3132236012638405e-06,7.3321177358973375e-06
