Samples,Noisy_dmc,UNET,BM4D,FFT,Local_Reg
35841,0.10618660389348604,0.005964058821012988,0.013868489380912594,0.0069136918154827295,0.05572189034177139
71678,0.06002492772023606,0.0036012040443286356,0.0056311899408077815,0.0042585902312489475,0.030337613159380848
143847,0.03151281605209491,0.001988336846621058,0.0023576106213423504,0.003095099194020792,0.015640386887354002
292606,0.015282883420912352,0.0010037348282956704,0.0010034257084408592,0.0015989075071838556,0.007666950567766414
430693,0.010048767050419271,0.0006287676566295881,0.0006160315094314537,0.0008974416715588277,0.005119557095942453
579453,0.007351989683570257,0.0005015418948703405,0.00046311445142463496,0.0007048302018584466,0.003798906248102132
850364,0.004867203259120469,0.0003386466726280559,0.00031899936453765927,0.0005099522776417437,0.002559056737492986
1139118,0.0035955749209444546,0.000270070497945818,0.00025000356318596943,0.0004273482206378456,0.0019144992705436624
1713750,0.002350446485814795,0.0001719125036618116,0.0001708844156587345,0.0003006567130687208,0.001259992889981249
2279912,0.0017572572447738634,0.00013385615932571924,0.00013451601860705616,0.00021953470029118197,0.0009494985700592779
3432210,0.0011618356651938756,8.779426040759269e-05,9.820010603814165e-05,0.00016891040335546807,0.0006316159613591639
4598503,0.0008693185022681814,7.390987178581881e-05,8.467969797735959e-05,0.0001396248862633589,0.00047889606417383343
5145904,0.0007703869664167251,6.231259433268136e-05,7.481140611573072e-05,0.00012466469612613083,0.0004246212222692655
6841866,0.000580915546430233,4.789770091471191e-05,6.263006989002267e-05,9.974073096185181e-05,0.000322235161790932
9187962,0.0004324540144309686,3.823295035563941e-05,5.633437645758947e-05,8.291871092059119e-05,0.000243960390632045
10290839,0.0003851787046641622,3.33776040377213e-05,5.235367924725344e-05,7.388509446726734e-05,0.00021782162728185093
13632362,0.00029097706830719106,2.6331886175226295e-05,4.540694942915847e-05,5.96600927607333e-05,0.00016677117808906923
18309668,0.0002176507711169868,2.150498796136205e-05,4.300031972919068e-05,5.0569133663354144e-05,0.00012846742329948864
20595287,0.00019294886733965845,1.9516656923719928e-05,4.140836377127335e-05,4.63525973413515e-05,0.00011474874901544139
27468090,0.00014498080845469778,1.591529134161208e-05,3.6473760637997264e-05,4.270045221294116e-05,8.879895864475657e-05
36659503,0.00010900406429644721,1.2829300429399166e-05,3.4975307902629076e-05,3.8416958832698324e-05,6.961151609151598e-05
41245942,9.684745951623443e-05,1.2455130217675998e-05,3.488046725142453e-05,3.7792402307566594e-05,6.31408113694803e-05
54945912,7.260852007148905e-05,9.942767407532397e-06,3.1888474886741405e-05,3.374124892609106e-05,4.985123609121907e-05
82389508,4.8721168584931994e-05,8.98460235790154e-06,3.0410759563384515e-05,3.0701458726963787e-05,3.717586226473025e-05
110034071,3.66332080419107e-05,7.4203983398331485e-06,2.9722116870173913e-05,2.9251661299284635e-05,3.054411676436172e-05
164736963,2.4809404997383766e-05,7.033074089559401e-06,2.872988247685396e-05,2.8189942216298795e-05,2.4240659001932524e-05
220139551,1.8668262549739346e-05,6.121762746046605e-06,2.8748714075261794e-05,2.726123787278924e-05,2.0860839254581883e-05
329613744,1.2764890052684736e-05,6.08548956951436e-06,2.7866384776023774e-05,2.6776845416631895e-05,1.7729537928573223e-05
440073516,9.722815667006918e-06,5.463936622074309e-06,2.8129880194106197e-05,2.5791906344869044e-05,1.6045283362789548e-05
659960356,6.748310351476367e-06,5.4695825160762565e-06,2.7727614994281047e-05,2.592273002285528e-05,1.4471978479637129e-05
1320319778,3.7405075774366284e-06,5.229383850077548e-06,2.7523292791752253e-05,2.5520965221166794e-05,1.2848296644066881e-05
2641383504,2.2476905050553725e-06,5.032492011472673e-06,2.754098269832223e-05,2.5214311291393964e-05,1.2042554001751918e-05
5282265534,1.4964534890693325e-06,4.988385876022667e-06,2.7423378643202646e-05,2.5265635581546967e-05,1.1638144776153974e-05
