Samples,Noisy_dmc,UNET,BM4D,FFT,Local_Reg,scunet_pre_raw,scunet_pre_trans
35841,0.10618660389348604,0.005964058821012988,0.005322877661485315,0.0069136918154827295,0.05572189034177139,0.005561771751082676,0.007853585788778844
71678,0.06002492772023606,0.0036012040443286356,0.0031102536664237485,0.0042585902312489475,0.030337613159380848,0.0027952500006411807,0.006447468832110175
143847,0.03151281605209491,0.001988336846621058,0.0016936683849314664,0.003095099194020792,0.015640386887354002,0.0016707468523757894,0.0074287589064274346
292606,0.015282883420912352,0.0010037348282956704,0.0008578641728426261,0.0015989075071838556,0.007666950567766414,0.0011511920742451934,0.0056634353498161375
430693,0.010048767050419271,0.0006287676566295881,0.0005455007125102821,0.0008974416715588277,0.005119557095942453,0.0009131824207373944,0.0032766383853815406
579453,0.007351989683570257,0.0005015418948703405,0.00043394718292543387,0.0007048302018584466,0.003798906248102132,0.0008681744526721338,0.0018052957851273457
850364,0.004867203259120469,0.0003386466726280559,0.0002956267037563165,0.0005099522776417437,0.002559056737492986,0.000768200203592115,0.001511675897724703
1139118,0.0035955749209444546,0.000270070497945818,0.00023254433913737647,0.0004273482206378456,0.0019144992705436624,0.0007510359028122259,0.0013488562056131967
1713750,0.002350446485814795,0.0001719125036618116,0.00014924077352125242,0.0003006567130687208,0.001259992889981249,0.0006812713272415255,0.0010557643930130599
2279912,0.0017572572447738634,0.00013385615932571924,0.00011458841005747704,0.00021953470029118197,0.0009494985700592779,0.0006786999523853537,0.0008297032203508774
3432210,0.0011618356651938756,8.779426040759269e-05,7.606932906149713e-05,0.00016891040335546807,0.0006316159613591639,0.000643890255707988,0.0005308805782023607
4598503,0.0008693185022681814,7.390987178581881e-05,6.305523848310323e-05,0.0001396248862633589,0.00047889606417383343,0.0006512756832055683,0.0003482558124655518
5145904,0.0007703869664167251,6.231259433268136e-05,5.2887962403046434e-05,0.00012466469612613083,0.0004246212222692655,0.0006125404979565369,0.0003973954830686726
6841866,0.000580915546430233,4.789770091471191e-05,4.075291549292199e-05,9.974073096185181e-05,0.000322235161790932,0.0006073544912374101,0.00027872931401949294
9187962,0.0004324540144309686,3.823295035563941e-05,3.232160525221845e-05,8.291871092059119e-05,0.000243960390632045,0.0006280445834224101,0.00020487584146997503
10290839,0.0003851787046641622,3.33776040377213e-05,2.786808923690705e-05,7.388509446726734e-05,0.00021782162728185093,0.0006110154489602513,0.00019936209771797024
13632362,0.00029097706830719106,2.6331886175226295e-05,2.1447243073910046e-05,5.96600927607333e-05,0.00016677117808906923,0.0005934952996327491,0.00012012877822432301
18309668,0.0002176507711169868,2.150498796136205e-05,1.7445187761668135e-05,5.0569133663354144e-05,0.00012846742329948864,0.0006061314137672516,9.242914774837435e-05
20595287,0.00019294886733965845,1.9516656923719928e-05,1.531881207610341e-05,4.63525973413515e-05,0.00011474874901544139,0.0005974413981464882,7.28597565288628e-05
27468090,0.00014498080845469778,1.591529134161208e-05,1.2117580218257039e-05,4.270045221294116e-05,8.879895864475657e-05,0.000591252049484542,4.9725668534056235e-05
36659503,0.00010900406429644721,1.2829300429399166e-05,9.380176567860866e-06,3.8416958832698324e-05,6.961151609151598e-05,0.0005975290651222065,4.063689251684302e-05
41245942,9.684745951623443e-05,1.2455130217675998e-05,8.691823322933198e-06,3.7792402307566594e-05,6.31408113694803e-05,0.0005939549768256108,3.1042286776210186e-05
54945912,7.260852007148905e-05,9.942767407532397e-06,6.619379258932424e-06,3.374124892609106e-05,4.985123609121907e-05,0.000590681946922875,2.148155109547928e-05
82389508,4.8721168584931994e-05,8.98460235790154e-06,4.93588321213489e-06,3.0701458726963787e-05,3.717586226473025e-05,0.00059135308020499,1.3113223163044879e-05
110034071,3.66332080419107e-05,7.4203983398331485e-06,3.829202829006823e-06,2.9251661299284635e-05,3.054411676436172e-05,0.000593241614721846,6.110505466910833e-06
164736963,2.4809404997383766e-05,7.033074089559401e-06,2.8126247570445525e-06,2.8189942216298795e-05,2.4240659001932524e-05,0.0005938113818358966,2.9648753701606284e-06
220139551,1.8668262549739346e-05,6.121762746046605e-06,2.1828506358224297e-06,2.726123787278924e-05,2.0860839254581883e-05,0.0005931705127422795,2.31326460437406e-06
329613744,1.2764890052684736e-05,6.08548956951436e-06,1.73155149843618e-06,2.6776845416631895e-05,1.7729537928573223e-05,0.0005905213671563682,1.7855668158036178e-06
440073516,9.722815667006918e-06,5.463936622074309e-06,1.4245196475079319e-06,2.5791906344869044e-05,1.6045283362789548e-05,0.0005914906981045404,1.4781949369406137e-06
659960356,6.748310351476367e-06,5.4695825160762565e-06,1.2223336017053474e-06,2.592273002285528e-05,1.4471978479637129e-05,0.0005909210350853016,1.2645807135707403e-06
1320319778,3.7405075774366284e-06,5.229383850077548e-06,9.791606368174016e-07,2.5520965221166794e-05,1.2848296644066881e-05,0.0005907631165141856,1.0282998989865943e-06
2641383504,2.2476905050553725e-06,5.032492011472673e-06,8.65149165421771e-07,2.5214311291393964e-05,1.2042554001751918e-05,0.0005906310983010867,9.125022403146577e-07
5282265534,1.4964534890693325e-06,4.988385876022667e-06,8.097152063228027e-07,2.5265635581546967e-05,1.1638144776153974e-05,0.0005904279265884196,8.591653000982038e-07
,,,,,,,
